Algorithm,Sample,Result_mean,Result_min,Result_max,Time_mean,Time_min,Time_max,Result_CI,Time_CI
BASE,10,40.62660248226906,40.62660248226906,40.62660248226906,0.03586553732554113,0.0291614532470703,0.0653738975524902,0.0,0.0025927215637953993
BASE,100,490.9966523413547,482.10498152208896,501.5827166792114,0.12989718914031978,0.1096467971801757,0.2160375118255615,1.8333087806961001,0.00885472730193862
BASE,1000,2978.9303009804157,2933.113016302203,3042.978404574248,1.0437180280685425,0.9320764541625975,1.1733241081237793,9.426502592374826,0.022180519864330804
BASE,10000,29443.552714544887,29271.475903717448,29597.96605684712,9.716548824310303,8.937449216842651,10.8971426486969,31.258495946637957,0.14929965728703926
DIFFERENTIALEVOLUTION,10,40.62660248226906,40.62660248226906,40.62660248226906,0.4311353683471679,0.3388795852661133,0.5697221755981445,0.0,0.017884641284332856
DIFFERENTIALEVOLUTION,100,519.6882790872876,515.7512659988054,526.3348094962302,1.0349501371383667,0.9050757884979248,1.384615182876587,1.105570914613438,0.03415068137973274
DIFFERENTIALEVOLUTION,1000,3106.5262759880356,3082.668979915751,3136.729001531087,6.7349118073781336,6.290512800216675,7.018312931060791,4.4995023338990645,0.06496719838035714
DIFFERENTIALEVOLUTION,10000,30112.8122278307,29904.5514535513,30278.46260799845,61.503259865442914,57.05834484100342,65.29637742042542,35.73007155497389,0.7289611444482844
EVOLUTIONSTRATEGY,10,39.80113504974984,38.01515941743148,40.62660248226906,0.09660782019297279,0.0745234489440918,0.1476862430572509,0.29620848471972344,0.0058121783440470524
EVOLUTIONSTRATEGY,100,478.98152521930166,462.37991001786696,495.5580121371282,0.2807541767756144,0.2383539676666259,0.3921308517456054,3.026881181400388,0.012591131686600742
EVOLUTIONSTRATEGY,1000,2893.212171178505,2798.351447607771,2975.979460510673,2.026905663808187,1.8800480365753172,2.1743435859680176,16.2327924015891,0.021602252347405742
EVOLUTIONSTRATEGY,10000,28978.571172920234,28603.89281525194,29710.211966605537,18.80590893427531,16.690526962280273,19.667569875717163,86.47556119805101,0.23350971420956754
GENETICALGORITHM,10,40.338405464127916,38.88142755070336,40.62660248226906,0.4438974221547445,0.3445677757263183,0.546135425567627,0.1876516048411833,0.018931739946331613
GENETICALGORITHM,100,548.4003301062203,543.0189024923308,553.2148165575446,1.4245648384094238,1.2668538093566897,1.9520201683044436,1.0317492913018165,0.042568610923629645
GENETICALGORITHM,1000,3392.6653709662755,3350.620767854153,3430.859189698442,10.894973079363504,10.00853681564331,11.366026163101196,6.230433825534444,0.10807823174908958
GENETICALGORITHM,10000,31461.503215079938,31272.58389289907,31682.71937172026,100.35385876496633,93.01449227333067,107.4920597076416,37.09774218595454,1.09505188604289
MEMETICALGORITHM,10,40.60396254132465,40.52957416393586,40.62660248226906,1.2046485662460327,0.8840732574462891,2.2019803524017334,0.014936445552243799,0.0835525877241468
MEMETICALGORITHM,100,554.9235401328325,552.4701104849216,557.362447637498,26.508964172999065,25.073241233825684,27.758280754089355,0.39500303076821924,0.2753168160679101
MEMETICALGORITHM,1000,3182.346743433919,3137.930354937804,3242.549677020192,350.0001266002655,350.00008964538574,350.0001976490021,8.446583532429466,1.0128205005937604e-05
MEMETICALGORITHM,10000,28830.426509329453,28362.317110314278,29508.721254461856,500.0003315289815,500.0001122951508,500.0007839202881,82.52698499408095,5.5042368074333984e-05
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.62660248226906,40.62660248226906,40.62660248226906,18.07543564637502,15.134305477142334,23.53696918487549,0.0,0.5955000001221507
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,512.1292534421584,501.3394980894561,519.9603076335892,46.33954453468323,43.1734459400177,49.14687657356262,1.5008803508277293,0.44417450205918335
MEMETICALGORITHMHYBRIDLOCALSEARCH,1000,3300.1392322253178,3257.700447878063,3342.394718208041,350.00012443860373,350.00009989738464,350.00015926361084,7.815026290357231,6.6695670721936635e-06
MEMETICALGORITHMHYBRIDLOCALSEARCH,10000,28767.4120055217,28373.44351219262,29169.153001572053,961.0428488016129,500.0000967979431,14331.27676486969,72.57174383021162,903.6433957066722
