Algorithm,Sample,Result_mean,Time_mean
BASE,10,40.6266024822691,0.0358655373255411
BASE,100,490.996652341355,0.12989718914032
BASE,1000,2978.93030098042,1.04371802806854
BASE,10000,29443.5527145449,9.7165488243103
DIFFERENTIALEVOLUTION,10,40.6266024822691,0.431135368347168
DIFFERENTIALEVOLUTION,100,519.688279087288,1.03495013713837
DIFFERENTIALEVOLUTION,1000,3106.52627598804,6.73491180737813
DIFFERENTIALEVOLUTION,10000,30112.8122278307,61.5032598654429
EVOLUTIONSTRATEGY,10,39.8011350497498,0.0966078201929728
EVOLUTIONSTRATEGY,100,478.981525219302,0.280754176775614
EVOLUTIONSTRATEGY,1000,2893.21217117851,2.02690566380819
EVOLUTIONSTRATEGY,10000,28978.5711729202,18.8059089342753
GENETICALGORITHM,10,40.3384054641279,0.443897422154745
GENETICALGORITHM,100,548.40033010622,1.42456483840942
GENETICALGORITHM,1000,3392.66537096628,10.8949730793635
GENETICALGORITHM,10000,31461.5032150799,100.353858764966
MEMETICALGORITHM,10,40.6039625413247,1.20464856624603
MEMETICALGORITHM,100,554.923540132833,26.5089641729991
MEMETICALGORITHM,1000,3182.34674343392,350.000126600266
MEMETICALGORITHM,10000,28830.4265093295,500.000331528982
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.6266024822691,18.075435646375
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,512.129253442158,46.3395445346832
MEMETICALGORITHMHYBRIDLOCALSEARCH,1000,3300.13923222532,350.000124438604
MEMETICALGORITHMHYBRIDLOCALSEARCH,10000,28767.4120055217,500.000331528982
DP,10,40.6266,0.0002
DP,100,557.8,0.0252
DP,1000,3916.7,3.542
DP,10000,40342.9,416.4995
