f1,f2,method,N,seed,selected_count
-6526.0,1474.8815,RANDOM,1000,4,506
-6517.0,1456.6609,RANDOM,1000,4,502
-6147.0,1373.5693,RANDOM,1000,4,477
-6098.0,1364.9948,RANDOM,1000,4,478
-6048.0,1352.7252,RANDOM,1000,4,471
-6522.0,1472.2443,RANDOM,1000,4,505
-6575.0,1480.6536,RANDOM,1000,4,502
-6647.0,1536.2363,RANDOM,1000,4,514
-6497.0,1450.8765,RANDOM,1000,4,499
-6632.0,1531.8092,RANDOM,1000,4,512
-6532.0,1476.0426,RANDOM,1000,4,504
-6208.0,1393.4133,RANDOM,1000,4,482
-6589.0,1483.7227,RANDOM,1000,4,507
-6559.0,1479.947,RANDOM,1000,4,510
-6614.0,1507.7092,RANDOM,1000,4,510
-6203.0,1383.9412,RANDOM,1000,4,480
-5609.0,1276.107,RANDOM,1000,4,441
-6079.0,1357.7156,RANDOM,1000,4,473
-5768.0,1308.185,RANDOM,1000,4,454
-5746.0,1291.3221,RANDOM,1000,4,447
-5944.0,1330.5753,RANDOM,1000,4,466
-6611.0,1503.9635,RANDOM,1000,4,512
-5912.0,1328.6912,RANDOM,1000,4,462
-6111.0,1368.8494,RANDOM,1000,4,470
-6002.0,1344.5182,RANDOM,1000,4,465
-6648.0,1543.4801,RANDOM,1000,4,514
-6107.0,1367.0999,RANDOM,1000,4,476
-6386.0,1428.5239,RANDOM,1000,4,492
-6314.0,1408.8766,RANDOM,1000,4,490
-6680.0,1547.6827,RANDOM,1000,4,518
-5967.0,1339.167,RANDOM,1000,4,467
-5616.0,1284.9867,RANDOM,1000,4,441
-6630.0,1517.0182,RANDOM,1000,4,515
-6706.0,1574.6519,RANDOM,1000,4,520
-6435.0,1436.7832,RANDOM,1000,4,495
-6459.0,1445.6948,RANDOM,1000,4,503
-5513.0,1275.1392,RANDOM,1000,4,434
-6460.0,1450.3099,RANDOM,1000,4,504
-6536.0,1479.1772,RANDOM,1000,4,507
-6416.0,1435.2393,RANDOM,1000,4,498
-6388.0,1431.8461,RANDOM,1000,4,496
-6392.0,1433.834,RANDOM,1000,4,493
-6523.0,1474.6154,RANDOM,1000,4,502
-6454.0,1444.7026,RANDOM,1000,4,504
-6579.0,1483.3434,RANDOM,1000,4,504
-6317.0,1412.6108,RANDOM,1000,4,487
-5864.0,1325.6393,RANDOM,1000,4,455
-6618.0,1510.6504,RANDOM,1000,4,517
-5451.0,1265.7474,RANDOM,1000,4,428
-6631.0,1530.911,RANDOM,1000,4,512
-6437.0,1437.6731,RANDOM,1000,4,496
-6358.0,1423.399,RANDOM,1000,4,494
-6609.0,1486.3126,RANDOM,1000,4,512
-6441.0,1444.449,RANDOM,1000,4,499
-5628.0,1285.9487,RANDOM,1000,4,443
-5365.0,1256.702,RANDOM,1000,4,429
-6625.0,1514.4099,RANDOM,1000,4,516
-5852.0,1312.8916,RANDOM,1000,4,454
-6353.0,1417.2578,RANDOM,1000,4,500
-6273.0,1395.2617,RANDOM,1000,4,489
-6206.0,1387.8735,RANDOM,1000,4,481
