f1,f2,method,N,seed,selected_count
-6397.0,1426.6926,RANDOM,1000,15,491
-5580.0,1278.6893,RANDOM,1000,15,440
-5924.0,1332.6849,RANDOM,1000,15,459
-5774.0,1301.1796,RANDOM,1000,15,446
-6007.0,1351.049,RANDOM,1000,15,467
-5930.0,1338.6758,RANDOM,1000,15,466
-5958.0,1339.1975,RANDOM,1000,15,462
-6112.0,1371.5233,RANDOM,1000,15,478
-6662.0,1529.2239,RANDOM,1000,15,516
-5858.0,1313.8939,RANDOM,1000,15,466
-5983.0,1340.2091,RANDOM,1000,15,469
-5622.0,1288.7458,RANDOM,1000,15,435
-6269.0,1401.5668,RANDOM,1000,15,489
-6134.0,1372.6053,RANDOM,1000,15,479
-6477.0,1444.2125,RANDOM,1000,15,502
-5967.0,1339.5947,RANDOM,1000,15,470
-6424.0,1432.8853,RANDOM,1000,15,495
-5911.0,1331.627,RANDOM,1000,15,456
-6089.0,1360.7671,RANDOM,1000,15,479
-6398.0,1427.3687,RANDOM,1000,15,496
-6461.0,1442.566,RANDOM,1000,15,498
-6587.0,1482.1719,RANDOM,1000,15,512
-6260.0,1400.3901,RANDOM,1000,15,485
-6185.0,1380.1104,RANDOM,1000,15,486
-6443.0,1436.2225,RANDOM,1000,15,497
-6537.0,1462.3589,RANDOM,1000,15,504
-6356.0,1423.4987,RANDOM,1000,15,493
-6060.0,1354.5813,RANDOM,1000,15,469
-6272.0,1401.746,RANDOM,1000,15,483
-5517.0,1271.0742,RANDOM,1000,15,435
-5569.0,1272.1232,RANDOM,1000,15,436
-5504.0,1260.264,RANDOM,1000,15,433
-5724.0,1298.5225,RANDOM,1000,15,451
-6493.0,1449.986,RANDOM,1000,15,501
-5396.0,1257.5791,RANDOM,1000,15,427
-6107.0,1363.2284,RANDOM,1000,15,471
-6657.0,1525.8596,RANDOM,1000,15,513
-6340.0,1402.7448,RANDOM,1000,15,490
-6148.0,1377.5,RANDOM,1000,15,483
-5900.0,1320.8765,RANDOM,1000,15,457
-6003.0,1349.6182,RANDOM,1000,15,469
-6246.0,1391.4274,RANDOM,1000,15,484
-6637.0,1500.2983,RANDOM,1000,15,511
-6568.0,1463.8577,RANDOM,1000,15,505
-5822.0,1312.164,RANDOM,1000,15,457
-5703.0,1294.2302,RANDOM,1000,15,447
-6203.0,1388.1022,RANDOM,1000,15,482
-6682.0,1540.3927,RANDOM,1000,15,520
-5593.0,1288.7434,RANDOM,1000,15,443
-6348.0,1422.1078,RANDOM,1000,15,491
