f1,f2,method,N,seed,selected_count
-63810.0,15132.852,RANDOM,10000,19,5065
-60547.0,14303.67,RANDOM,10000,19,4823
-61796.0,14521.793,RANDOM,10000,19,4910
-60299.0,14253.832,RANDOM,10000,19,4816
-62186.0,14560.016,RANDOM,10000,19,4920
-62160.0,14556.355,RANDOM,10000,19,4929
-62978.0,14735.075,RANDOM,10000,19,4990
-63425.0,14885.1,RANDOM,10000,19,5014
-61662.0,14464.113,RANDOM,10000,19,4881
-63776.0,15074.828,RANDOM,10000,19,5040
-61598.0,14421.084,RANDOM,10000,19,4888
-61232.0,14375.216,RANDOM,10000,19,4852
-61967.0,14537.874,RANDOM,10000,19,4907
-62462.0,14644.981,RANDOM,10000,19,4955
-63059.0,14758.115,RANDOM,10000,19,4992
-60711.0,14315.344,RANDOM,10000,19,4834
-63170.0,14785.748,RANDOM,10000,19,5004
-61794.0,14521.59,RANDOM,10000,19,4900
-62557.0,14675.9,RANDOM,10000,19,4963
-63725.0,15006.992,RANDOM,10000,19,5052
-62801.0,14680.485,RANDOM,10000,19,4983
-62538.0,14649.659,RANDOM,10000,19,4967
-62400.0,14613.747,RANDOM,10000,19,4951
-63395.0,14860.921,RANDOM,10000,19,5015
-63303.0,14818.629,RANDOM,10000,19,5001
-63551.0,14890.962,RANDOM,10000,19,5010
-62289.0,14602.128,RANDOM,10000,19,4944
-63069.0,14769.931,RANDOM,10000,19,4992
-63348.0,14822.789,RANDOM,10000,19,5006
-63735.0,15067.809,RANDOM,10000,19,5035
-63213.0,14797.027,RANDOM,10000,19,5000
-60960.0,14362.263,RANDOM,10000,19,4844
-63707.0,14950.963,RANDOM,10000,19,5044
-63726.0,15010.874,RANDOM,10000,19,5043
-63594.0,14934.85,RANDOM,10000,19,5037
-63088.0,14775.493,RANDOM,10000,19,5004
-61766.0,14470.342,RANDOM,10000,19,4893
-62915.0,14734.72,RANDOM,10000,19,4987
-60913.0,14354.749,RANDOM,10000,19,4839
-62869.0,14727.433,RANDOM,10000,19,4996
