f1,f2,method,N,seed,selected_count
-5916.0,1321.5792,RANDOM,1000,25,461
-6188.0,1386.1117,RANDOM,1000,25,479
-6563.0,1478.3401,RANDOM,1000,25,504
-6387.0,1425.8958,RANDOM,1000,25,492
-6697.0,1529.5353,RANDOM,1000,25,510
-6102.0,1367.2712,RANDOM,1000,25,474
-6107.0,1373.6306,RANDOM,1000,25,475
-6147.0,1384.3612,RANDOM,1000,25,483
-6163.0,1384.5094,RANDOM,1000,25,475
-6574.0,1480.4878,RANDOM,1000,25,505
-6634.0,1499.5352,RANDOM,1000,25,507
-5833.0,1313.5883,RANDOM,1000,25,456
-6450.0,1431.9915,RANDOM,1000,25,493
-6319.0,1405.4792,RANDOM,1000,25,488
-6545.0,1474.2334,RANDOM,1000,25,503
-6139.0,1378.2256,RANDOM,1000,25,480
-5988.0,1340.3672,RANDOM,1000,25,468
-6497.0,1450.0654,RANDOM,1000,25,501
-6592.0,1497.3077,RANDOM,1000,25,512
-6052.0,1349.1715,RANDOM,1000,25,470
-5798.0,1313.266,RANDOM,1000,25,449
-6515.0,1464.7928,RANDOM,1000,25,507
-6496.0,1449.4628,RANDOM,1000,25,507
-6553.0,1476.59,RANDOM,1000,25,506
-5709.0,1295.8805,RANDOM,1000,25,446
-6208.0,1390.2151,RANDOM,1000,25,483
-5476.0,1275.0424,RANDOM,1000,25,427
-5564.0,1286.0804,RANDOM,1000,25,442
-6275.0,1391.2991,RANDOM,1000,25,483
-6597.0,1499.056,RANDOM,1000,25,510
-6362.0,1420.2771,RANDOM,1000,25,495
-6590.0,1494.0403,RANDOM,1000,25,506
-6066.0,1358.1266,RANDOM,1000,25,472
-5956.0,1338.0804,RANDOM,1000,25,462
-6534.0,1467.0148,RANDOM,1000,25,503
-6514.0,1462.5278,RANDOM,1000,25,504
-5763.0,1297.8148,RANDOM,1000,25,449
-6162.0,1384.4552,RANDOM,1000,25,477
-6090.0,1363.4143,RANDOM,1000,25,471
-6583.0,1489.2709,RANDOM,1000,25,500
-6146.0,1378.2366,RANDOM,1000,25,477
-5945.0,1336.6382,RANDOM,1000,25,462
-6207.0,1387.6241,RANDOM,1000,25,486
-6115.0,1374.2219,RANDOM,1000,25,479
-5866.0,1317.2283,RANDOM,1000,25,461
-6657.0,1509.3226,RANDOM,1000,25,517
-5620.0,1290.3416,RANDOM,1000,25,440
-5765.0,1306.3502,RANDOM,1000,25,453
-6483.0,1440.5056,RANDOM,1000,25,505
-6337.0,1419.5914,RANDOM,1000,25,490
