f1,f2,method,N,seed,selected_count
-61736.0,14489.133,RANDOM,10000,10,4894
-61904.0,14503.997,RANDOM,10000,10,4898
-63654.0,14957.079,RANDOM,10000,10,5021
-61187.0,14396.507,RANDOM,10000,10,4864
-61432.0,14459.524,RANDOM,10000,10,4872
-62124.0,14583.575,RANDOM,10000,10,4923
-63076.0,14733.608,RANDOM,10000,10,4980
-62449.0,14649.346,RANDOM,10000,10,4939
-63717.0,15039.796,RANDOM,10000,10,5027
-61259.0,14423.636,RANDOM,10000,10,4871
-60856.0,14335.198,RANDOM,10000,10,4842
-62327.0,14631.067,RANDOM,10000,10,4935
-62237.0,14599.085,RANDOM,10000,10,4934
-63746.0,15040.775,RANDOM,10000,10,5030
-62174.0,14597.529,RANDOM,10000,10,4930
-63133.0,14796.944,RANDOM,10000,10,5009
-63712.0,15025.476,RANDOM,10000,10,5048
-63289.0,14818.038,RANDOM,10000,10,5007
-61925.0,14538.289,RANDOM,10000,10,4914
-62763.0,14719.051,RANDOM,10000,10,4966
-62037.0,14573.279,RANDOM,10000,10,4930
-63487.0,14906.515,RANDOM,10000,10,5022
-63532.0,14934.932,RANDOM,10000,10,5019
-60348.0,14256.22,RANDOM,10000,10,4784
-62550.0,14666.377,RANDOM,10000,10,4955
-63446.0,14843.841,RANDOM,10000,10,5009
-63276.0,14803.229,RANDOM,10000,10,4989
-63205.0,14800.098,RANDOM,10000,10,4992
-61127.0,14377.869,RANDOM,10000,10,4849
-62762.0,14688.378,RANDOM,10000,10,4971
-61939.0,14558.903,RANDOM,10000,10,4922
-63122.0,14759.17,RANDOM,10000,10,4996
-61545.0,14480.624,RANDOM,10000,10,4886
-60624.0,14309.982,RANDOM,10000,10,4822
-60005.0,14164.81,RANDOM,10000,10,4772
-63956.0,15106.882,RANDOM,10000,10,5072
-62561.0,14683.72,RANDOM,10000,10,4957
-62880.0,14730.181,RANDOM,10000,10,4995
-63364.0,14820.91,RANDOM,10000,10,5013
-62505.0,14652.974,RANDOM,10000,10,4965
-61381.0,14442.483,RANDOM,10000,10,4880
-62649.0,14686.639,RANDOM,10000,10,4954
-62319.0,14611.46,RANDOM,10000,10,4919
-63667.0,14989.844,RANDOM,10000,10,5038
-61282.0,14441.031,RANDOM,10000,10,4866
-60389.0,14275.073,RANDOM,10000,10,4789
-60936.0,14359.018,RANDOM,10000,10,4849
-62017.0,14569.661,RANDOM,10000,10,4925
-62408.0,14638.185,RANDOM,10000,10,4928
-62928.0,14730.893,RANDOM,10000,10,4982
-61201.0,14401.842,RANDOM,10000,10,4860
-61534.0,14470.331,RANDOM,10000,10,4885
-63710.0,15014.891,RANDOM,10000,10,5028
