f1,f2,method,N,seed,selected_count
-6408.0,1423.0217,RANDOM,1000,18,495
-6372.0,1421.4424,RANDOM,1000,18,491
-6354.0,1412.5392,RANDOM,1000,18,488
-5793.0,1304.5009,RANDOM,1000,18,449
-6078.0,1352.0625,RANDOM,1000,18,472
-6174.0,1373.4644,RANDOM,1000,18,481
-6043.0,1349.263,RANDOM,1000,18,473
-6436.0,1434.4257,RANDOM,1000,18,494
-6546.0,1461.0911,RANDOM,1000,18,501
-5910.0,1336.1305,RANDOM,1000,18,462
-6467.0,1446.3188,RANDOM,1000,18,501
-5909.0,1318.3267,RANDOM,1000,18,462
-5691.0,1299.9286,RANDOM,1000,18,444
-6323.0,1412.1378,RANDOM,1000,18,490
-5702.0,1303.4653,RANDOM,1000,18,447
-6272.0,1405.2253,RANDOM,1000,18,489
-6194.0,1374.7045,RANDOM,1000,18,481
-6368.0,1417.6442,RANDOM,1000,18,493
-5828.0,1315.3263,RANDOM,1000,18,450
-6693.0,1543.6029,RANDOM,1000,18,514
-5936.0,1337.555,RANDOM,1000,18,464
-6663.0,1536.7133,RANDOM,1000,18,514
-6133.0,1369.7646,RANDOM,1000,18,474
-5966.0,1346.4697,RANDOM,1000,18,468
-5628.0,1281.9847,RANDOM,1000,18,439
-6085.0,1361.1644,RANDOM,1000,18,474
-6580.0,1478.2792,RANDOM,1000,18,508
-6614.0,1498.3428,RANDOM,1000,18,508
-5608.0,1273.3835,RANDOM,1000,18,439
-5957.0,1345.0985,RANDOM,1000,18,464
-6721.0,1547.1646,RANDOM,1000,18,522
-5673.0,1289.248,RANDOM,1000,18,448
-6551.0,1465.0087,RANDOM,1000,18,501
-6480.0,1451.4248,RANDOM,1000,18,496
-6376.0,1422.8273,RANDOM,1000,18,499
-6311.0,1407.1772,RANDOM,1000,18,496
-6596.0,1493.6125,RANDOM,1000,18,509
-6655.0,1507.5691,RANDOM,1000,18,512
-5949.0,1339.1108,RANDOM,1000,18,461
-6262.0,1388.1566,RANDOM,1000,18,482
-6494.0,1455.4811,RANDOM,1000,18,501
-6451.0,1445.7875,RANDOM,1000,18,498
