f1,f2,method,N,seed,selected_count
-666.0,117.873566,RANDOM,100,4,49
-662.0,115.712265,RANDOM,100,4,48
-655.0,115.018135,RANDOM,100,4,46
-573.0,96.67785,RANDOM,100,4,41
-727.0,133.36594,RANDOM,100,4,52
-521.0,90.78549,RANDOM,100,4,37
-497.0,87.49347,RANDOM,100,4,37
-588.0,103.29098,RANDOM,100,4,42
-721.0,131.06784,RANDOM,100,4,52
-401.0,72.265274,RANDOM,100,4,30
-766.0,154.18611,RANDOM,100,4,56
-683.0,120.93625,RANDOM,100,4,49
-571.0,95.604416,RANDOM,100,4,40
-676.0,118.05923,RANDOM,100,4,50
-511.0,89.98864,RANDOM,100,4,38
-585.0,101.5185,RANDOM,100,4,42
-485.0,86.738045,RANDOM,100,4,37
-454.0,79.15785,RANDOM,100,4,32
-543.0,95.56128,RANDOM,100,4,40
-736.0,134.21863,RANDOM,100,4,53
-499.0,87.9609,RANDOM,100,4,36
-542.0,95.24508,RANDOM,100,4,40
-686.0,121.52198,RANDOM,100,4,50
-645.0,113.22068,RANDOM,100,4,47
-690.0,121.671524,RANDOM,100,4,49
-600.0,105.70173,RANDOM,100,4,45
-763.0,152.71461,RANDOM,100,4,54
-706.0,122.64076,RANDOM,100,4,50
-643.0,111.61296,RANDOM,100,4,47
-430.0,78.48096,RANDOM,100,4,32
-759.0,142.96368,RANDOM,100,4,54
-423.0,77.0314,RANDOM,100,4,30
-608.0,107.10156,RANDOM,100,4,45
-622.0,107.4651,RANDOM,100,4,44
-623.0,110.63497,RANDOM,100,4,44
-710.0,127.395424,RANDOM,100,4,51
-719.0,127.42535,RANDOM,100,4,52
-752.0,142.57513,RANDOM,100,4,53
-742.0,135.56946,RANDOM,100,4,53
-749.0,137.9089,RANDOM,100,4,54
-536.0,90.97445,RANDOM,100,4,39
-470.0,83.218704,RANDOM,100,4,34
