f1,f2,method,N,seed,selected_count
-0.0,0.0,NSGA2,100,1,0
-833.0,142.20835021532062,NSGA2,100,1,56
-434.0,52.79192308109651,NSGA2,100,1,29
-650.0,92.48061635804483,NSGA2,100,1,46
-642.0,90.80740838387959,NSGA2,100,1,45
-809.0,131.94950299006825,NSGA2,100,1,55
-154.0,13.72796094623643,NSGA2,100,1,10
-441.0,54.2694789578509,NSGA2,100,1,30
-805.0,130.16512080154888,NSGA2,100,1,55
-144.0,12.369378601068359,NSGA2,100,1,10
-654.0,93.29364135892051,NSGA2,100,1,46
-732.0,110.7105137210252,NSGA2,100,1,50
-317.0,34.55128505521648,NSGA2,100,1,21
-709.0,105.180077805196,NSGA2,100,1,49
-188.0,17.652082633524913,NSGA2,100,1,13
-216.0,21.20554637940761,NSGA2,100,1,14
-365.0,41.781171019337066,NSGA2,100,1,24
-194.0,18.761743052165432,NSGA2,100,1,13
-584.0,79.77063582683994,NSGA2,100,1,40
-813.0,133.1612604987239,NSGA2,100,1,55
-461.0,57.22929658510247,NSGA2,100,1,31
-279.0,29.702215611382776,NSGA2,100,1,18
-428.0,51.86815761299713,NSGA2,100,1,29
-701.0,104.18892916897939,NSGA2,100,1,48
-26.0,0.7706109340231313,NSGA2,100,1,2
-344.0,38.77355638870008,NSGA2,100,1,23
-739.0,111.93172740377075,NSGA2,100,1,51
-627.0,87.74968362043116,NSGA2,100,1,44
-660.0,94.95055074329049,NSGA2,100,1,46
-42.0,1.9379381039922738,NSGA2,100,1,3
-221.0,21.805747138187193,NSGA2,100,1,15
-227.0,22.6190275508142,NSGA2,100,1,15
-719.0,107.18772019120236,NSGA2,100,1,50
-496.0,63.29351230305843,NSGA2,100,1,34
-597.0,82.21165806059766,NSGA2,100,1,41
-728.0,109.687027641198,NSGA2,100,1,50
-163.0,14.860087912086712,NSGA2,100,1,11
-609.0,85.17121985812543,NSGA2,100,1,42
-310.0,33.42382426946647,NSGA2,100,1,20
-323.0,35.27249118394268,NSGA2,100,1,21
-467.0,58.22759336213635,NSGA2,100,1,32
-682.0,99.51748198251623,NSGA2,100,1,47
-416.0,49.86377311188733,NSGA2,100,1,28
-111.0,8.615762987004468,NSGA2,100,1,8
-501.0,64.12804348859515,NSGA2,100,1,34
-577.0,78.53951784005727,NSGA2,100,1,39
-816.0,134.41640555734145,NSGA2,100,1,55
-518.0,67.31810455649472,NSGA2,100,1,35
-200.0,19.279315929444515,NSGA2,100,1,13
-751.0,115.21774385021891,NSGA2,100,1,51
-274.0,28.401664303561812,NSGA2,100,1,18
-483.0,60.89219095820466,NSGA2,100,1,33
-523.0,68.10166861553212,NSGA2,100,1,36
-12.0,0.0641852658348121,NSGA2,100,1,1
-14.0,0.7064256681883192,NSGA2,100,1,1
-88.0,6.250242388211484,NSGA2,100,1,6
-117.0,9.22879946542627,NSGA2,100,1,8
-285.0,30.128906546466286,NSGA2,100,1,19
-256.0,26.11131930170446,NSGA2,100,1,17
-821.0,137.19815557916465,NSGA2,100,1,56
-630.0,88.4628322190138,NSGA2,100,1,44
-330.0,36.95260640007025,NSGA2,100,1,22
-208.0,20.239685837260033,NSGA2,100,1,14
-829.0,141.11102823639922,NSGA2,100,1,56
-763.0,118.25198303253792,NSGA2,100,1,52
-487.0,61.981934064890865,NSGA2,100,1,33
-678.0,98.70445698164058,NSGA2,100,1,47
-620.0,86.70184554327676,NSGA2,100,1,43
-81.0,5.525051065668193,NSGA2,100,1,6
-527.0,68.89040833857794,NSGA2,100,1,36
-801.0,129.06779882262748,NSGA2,100,1,55
-606.0,84.04768707044752,NSGA2,100,1,42
-767.0,119.10030290468912,NSGA2,100,1,52
-792.0,125.88255971086473,NSGA2,100,1,54
-775.0,120.63251522611027,NSGA2,100,1,53
-368.0,43.30881387869848,NSGA2,100,1,24
-291.0,30.74801186722312,NSGA2,100,1,19
-771.0,119.86689191204253,NSGA2,100,1,53
-634.0,89.6235943536215,NSGA2,100,1,44
-514.0,66.48908699372417,NSGA2,100,1,35
-327.0,36.05075488374219,NSGA2,100,1,21
-181.0,17.150432913944066,NSGA2,100,1,12
-167.0,15.96047782327815,NSGA2,100,1,11
-353.0,39.85402807173555,NSGA2,100,1,23
-490.0,62.73353398123577,NSGA2,100,1,33
-231.0,23.386271612958417,NSGA2,100,1,15
-237.0,23.73197758815029,NSGA2,100,1,16
-788.0,124.99777287487787,NSGA2,100,1,54
-778.0,121.61139470047196,NSGA2,100,1,53
-828.0,140.0155239120286,NSGA2,100,1,56
-571.0,77.04731298275708,NSGA2,100,1,39
-159.0,14.114542045340444,NSGA2,100,1,11
-456.0,56.50035111923188,NSGA2,100,1,31
-783.0,123.24925399236942,NSGA2,100,1,53
-826.0,138.90522058158825,NSGA2,100,1,56
-399.0,47.20606622334255,NSGA2,100,1,27
-58.0,3.15953046687521,NSGA2,100,1,4
-72.0,4.504291697282095,NSGA2,100,1,5
-616.0,85.55084312412914,NSGA2,100,1,43
-294.0,31.497593819503376,NSGA2,100,1,19
-348.0,39.6545119267362,NSGA2,100,1,23
-378.0,43.73577729285423,NSGA2,100,1,25
-786.0,124.15870101772454,NSGA2,100,1,54
-385.0,45.06874524312179,NSGA2,100,1,26
-795.0,126.74227566330731,NSGA2,100,1,54
-666.0,96.03685132471033,NSGA2,100,1,46
-824.0,138.042889860287,NSGA2,100,1,56
-338.0,37.77799712664665,NSGA2,100,1,22
-76.0,5.279350234131203,NSGA2,100,1,5
-60.0,4.057757871248267,NSGA2,100,1,4
-29.0,1.7409459081407326,NSGA2,100,1,2
-48.0,2.936234881026157,NSGA2,100,1,4
-121.0,10.003858002275377,NSGA2,100,1,8
-139.0,12.09416509942853,NSGA2,100,1,9
-687.0,100.36246095877084,NSGA2,100,1,48
-638.0,89.99438338300392,NSGA2,100,1,45
-674.0,97.84759191196765,NSGA2,100,1,47
-382.0,44.40810163361277,NSGA2,100,1,25
-447.0,54.85517520026074,NSGA2,100,1,30
-575.0,78.15592890933395,NSGA2,100,1,40
-721.0,108.51167322472318,NSGA2,100,1,49
-593.0,81.34293960892313,NSGA2,100,1,41
-261.0,26.790354165340442,NSGA2,100,1,17
-390.0,45.63376244125934,NSGA2,100,1,26
-178.0,16.49388375889461,NSGA2,100,1,12
-67.0,4.180289835261307,NSGA2,100,1,5
-781.0,122.35637391925046,NSGA2,100,1,53
-298.0,32.17194334166231,NSGA2,100,1,20
-556.0,74.22400409218423,NSGA2,100,1,38
-560.0,75.04936231508422,NSGA2,100,1,39
-700.0,103.12064981878147,NSGA2,100,1,49
-505.0,64.91678321164096,NSGA2,100,1,34
-689.0,100.87595005620874,NSGA2,100,1,48
-35.0,1.7913703024092285,NSGA2,100,1,3
-301.0,32.7715021608243,NSGA2,100,1,20
-173.0,16.01828678671701,NSGA2,100,1,12
-422.0,50.86206988892121,NSGA2,100,1,29
-746.0,113.9068652916528,NSGA2,100,1,51
-479.0,60.23197786324616,NSGA2,100,1,33
-91.0,6.913146080939104,NSGA2,100,1,6
-545.0,72.12626086896843,NSGA2,100,1,37
-126.0,10.249558833812367,NSGA2,100,1,9
-725.0,108.67565638920941,NSGA2,100,1,50
-105.0,8.107282789551114,NSGA2,100,1,7
-536.0,70.55395708688522,NSGA2,100,1,36
-206.0,19.846964034239544,NSGA2,100,1,14
-755.0,116.08221738603127,NSGA2,100,1,52
-566.0,76.99452163025362,NSGA2,100,1,40
-453.0,55.93413506122459,NSGA2,100,1,30
-356.0,41.14024371113982,NSGA2,100,1,24
-818.0,135.98886507587383,NSGA2,100,1,56
-241.0,24.47752345489656,NSGA2,100,1,16
-337.0,37.40981216416345,NSGA2,100,1,22
-411.0,49.55064238820834,NSGA2,100,1,28
-305.0,33.39306639193522,NSGA2,100,1,20
-669.0,96.75960144544756,NSGA2,100,1,47
-358.0,41.261668382711555,NSGA2,100,1,24
-798.0,128.3602993463147,NSGA2,100,1,54
-587.0,80.50050507419972,NSGA2,100,1,41
-509.0,65.96434763531136,NSGA2,100,1,35
-371.0,43.67653750153528,NSGA2,100,1,25
-797.0,127.59727762675111,NSGA2,100,1,54
-662.0,95.38732101252265,NSGA2,100,1,46
-713.0,106.18942341416847,NSGA2,100,1,49
-449.0,55.420639536275836,NSGA2,100,1,30
-130.0,10.840109603647639,NSGA2,100,1,9
-693.0,101.762181745089,NSGA2,100,1,48
-531.0,69.7521394841267,NSGA2,100,1,36
-565.0,75.79630787426746,NSGA2,100,1,39
-423.0,51.06468083819204,NSGA2,100,1,28
-470.0,58.89284533340975,NSGA2,100,1,31
-759.0,117.12433506582236,NSGA2,100,1,52
-396.0,46.56422708689964,NSGA2,100,1,26
-714.0,106.43095662663664,NSGA2,100,1,49
-697.0,102.43686783940619,NSGA2,100,1,49
-602.0,83.06813924793187,NSGA2,100,1,42
-135.0,11.348619232682264,NSGA2,100,1,9
-403.0,48.0104854886066,NSGA2,100,1,27
-393.0,46.20776944630867,NSGA2,100,1,26
-553.0,73.79192337315766,NSGA2,100,1,38
-96.0,7.270214509940277,NSGA2,100,1,7
-409.0,48.86983094294292,NSGA2,100,1,27
-671.0,97.36288427967833,NSGA2,100,1,47
-51.0,2.958697472378371,NSGA2,100,1,4
-269.0,28.29110661818206,NSGA2,100,1,18
-817.0,135.62923534684572,NSGA2,100,1,56
-263.0,27.423744921433943,NSGA2,100,1,17
-540.0,71.37043821860887,NSGA2,100,1,37
-250.0,25.580644502626495,NSGA2,100,1,17
-265.0,28.014743485789072,NSGA2,100,1,18
-591.0,80.72623707923245,NSGA2,100,1,41
-741.0,112.6844895612948,NSGA2,100,1,51
-743.0,113.09693579147033,NSGA2,100,1,51
-618.0,86.26131772654544,NSGA2,100,1,43
-760.0,117.25800170698923,NSGA2,100,1,52
-507.0,65.53821206563117,NSGA2,100,1,35
-603.0,83.20359296309702,NSGA2,100,1,42
-533.0,69.9296251328157,NSGA2,100,1,36
-102.0,7.792362477809385,NSGA2,100,1,7
-563.0,75.4691338108681,NSGA2,100,1,39
