f1,f2,method,N,seed,selected_count
-322.0,69.214584,RANDOM,100,21,27
-453.0,83.09684,RANDOM,100,21,35
-571.0,101.445076,RANDOM,100,21,41
-690.0,123.624954,RANDOM,100,21,50
-647.0,112.61638,RANDOM,100,21,47
-694.0,124.703995,RANDOM,100,21,50
-591.0,104.44244,RANDOM,100,21,42
-748.0,139.73329,RANDOM,100,21,54
-716.0,129.22272,RANDOM,100,21,51
-686.0,122.9701,RANDOM,100,21,49
-505.0,83.262535,RANDOM,100,21,37
-745.0,136.6206,RANDOM,100,21,53
-640.0,109.21641,RANDOM,100,21,46
-735.0,135.04308,RANDOM,100,21,53
-681.0,122.25827,RANDOM,100,21,50
-380.0,71.02535,RANDOM,100,21,27
-423.0,76.061356,RANDOM,100,21,32
-752.0,143.0583,RANDOM,100,21,54
-430.0,77.03706,RANDOM,100,21,32
-659.0,115.99211,RANDOM,100,21,47
-675.0,118.20088,RANDOM,100,21,47
-580.0,103.2351,RANDOM,100,21,44
-679.0,121.92348,RANDOM,100,21,50
-719.0,131.6401,RANDOM,100,21,51
-416.0,73.47617,RANDOM,100,21,30
-552.0,95.68173,RANDOM,100,21,40
-758.0,152.69446,RANDOM,100,21,55
-565.0,97.373276,RANDOM,100,21,41
-709.0,125.389465,RANDOM,100,21,51
-648.0,113.72148,RANDOM,100,21,48
-543.0,89.31686,RANDOM,100,21,41
-578.0,102.080315,RANDOM,100,21,42
-624.0,106.25622,RANDOM,100,21,45
-689.0,123.4548,RANDOM,100,21,50
-441.0,81.60519,RANDOM,100,21,32
-570.0,99.94128,RANDOM,100,21,41
-677.0,120.72552,RANDOM,100,21,49
-581.0,103.3378,RANDOM,100,21,42
-738.0,135.68767,RANDOM,100,21,54
-726.0,133.96428,RANDOM,100,21,52
