f1,f2,method,N,seed,selected_count
-62300.0,14601.066,RANDOM,10000,3,4942
-62128.0,14586.2,RANDOM,10000,3,4914
-62611.0,14695.208,RANDOM,10000,3,4960
-60301.0,14286.798,RANDOM,10000,3,4823
-63113.0,14760.552,RANDOM,10000,3,5003
-61384.0,14432.904,RANDOM,10000,3,4871
-63767.0,15031.747,RANDOM,10000,3,5050
-60578.0,14349.553,RANDOM,10000,3,4820
-61641.0,14456.557,RANDOM,10000,3,4899
-61138.0,14394.303,RANDOM,10000,3,4876
-63454.0,14815.54,RANDOM,10000,3,4996
-61271.0,14430.031,RANDOM,10000,3,4855
-63803.0,15139.065,RANDOM,10000,3,5063
-61867.0,14505.045,RANDOM,10000,3,4916
-62157.0,14589.011,RANDOM,10000,3,4939
-60574.0,14349.488,RANDOM,10000,3,4829
-62699.0,14697.654,RANDOM,10000,3,4953
-61213.0,14402.812,RANDOM,10000,3,4870
-63006.0,14745.598,RANDOM,10000,3,4981
-61414.0,14433.096,RANDOM,10000,3,4867
-62506.0,14628.367,RANDOM,10000,3,4946
-63733.0,14981.938,RANDOM,10000,3,5036
-63500.0,14926.077,RANDOM,10000,3,5030
-60824.0,14374.638,RANDOM,10000,3,4824
-62116.0,14575.026,RANDOM,10000,3,4933
-63647.0,14980.838,RANDOM,10000,3,5026
-60514.0,14313.094,RANDOM,10000,3,4811
-61259.0,14421.288,RANDOM,10000,3,4858
-62887.0,14703.439,RANDOM,10000,3,4986
-61512.0,14454.418,RANDOM,10000,3,4871
-62192.0,14596.031,RANDOM,10000,3,4920
-62100.0,14548.016,RANDOM,10000,3,4946
-63366.0,14811.525,RANDOM,10000,3,5006
-60292.0,14233.278,RANDOM,10000,3,4793
-63481.0,14897.73,RANDOM,10000,3,5010
-62603.0,14691.578,RANDOM,10000,3,4959
-63206.0,14799.745,RANDOM,10000,3,5001
-61878.0,14545.076,RANDOM,10000,3,4904
-63644.0,14942.805,RANDOM,10000,3,5025
-62998.0,14711.445,RANDOM,10000,3,4983
-61082.0,14392.423,RANDOM,10000,3,4860
-62382.0,14625.979,RANDOM,10000,3,4940
-62588.0,14690.186,RANDOM,10000,3,4963
