f1,f2,method,N,seed,selected_count
-58479.0,12697.537254085848,NSGA2,10000,27,4539
-64806.0,14237.602730632023,NSGA2,10000,27,5011
-64791.0,14117.250183882614,NSGA2,10000,27,4999
-64796.0,14232.856389489803,NSGA2,10000,27,5010
-60935.0,13105.527175774121,NSGA2,10000,27,4708
-60103.0,12954.962570944506,NSGA2,10000,27,4651
-58598.0,12724.492062091162,NSGA2,10000,27,4545
-64541.0,14014.607644209427,NSGA2,10000,27,4977
-58493.0,12700.492302753537,NSGA2,10000,27,4540
-61774.0,13287.382296670628,NSGA2,10000,27,4767
-63672.0,13756.94266483024,NSGA2,10000,27,4907
-60853.0,13087.103852294193,NSGA2,10000,27,4700
-59998.0,12940.674058629056,NSGA2,10000,27,4642
-60180.0,12956.4607273174,NSGA2,10000,27,4653
-63246.0,13647.797962809813,NSGA2,10000,27,4878
-59423.0,12842.570332192738,NSGA2,10000,27,4604
-61421.0,13207.040188494571,NSGA2,10000,27,4740
-64586.0,14041.560536595043,NSGA2,10000,27,4982
-58761.0,12737.579199479278,NSGA2,10000,27,4559
-61838.0,13301.02513606383,NSGA2,10000,27,4771
-63614.0,13741.881049118943,NSGA2,10000,27,4903
-63277.0,13660.39634071849,NSGA2,10000,27,4877
-59027.0,12774.595589465658,NSGA2,10000,27,4576
-63067.0,13601.430035212546,NSGA2,10000,27,4862
-61365.0,13193.236000180636,NSGA2,10000,27,4736
-60218.0,12976.018069029284,NSGA2,10000,27,4657
-60662.0,13058.675237750977,NSGA2,10000,27,4688
-64165.0,13895.133575898144,NSGA2,10000,27,4945
-59798.0,12900.071208559208,NSGA2,10000,27,4631
-64343.0,13953.877570597706,NSGA2,10000,27,4961
-64304.0,13938.392691251367,NSGA2,10000,27,4957
-62098.0,13357.91925088844,NSGA2,10000,27,4789
-62036.0,13349.238359653493,NSGA2,10000,27,4786
-64496.0,14006.886172229837,NSGA2,10000,27,4974
-64417.0,13970.622445472502,NSGA2,10000,27,4966
-60698.0,13065.688654593645,NSGA2,10000,27,4691
-63695.0,13776.147064684787,NSGA2,10000,27,4909
-63183.0,13634.924076595978,NSGA2,10000,27,4869
-59568.0,12861.854886080942,NSGA2,10000,27,4614
-64359.0,13963.065505794655,NSGA2,10000,27,4963
-63834.0,13808.841466074331,NSGA2,10000,27,4917
-61057.0,13130.84826532605,NSGA2,10000,27,4715
-64208.0,13906.403137866528,NSGA2,10000,27,4949
-59748.0,12896.781123040868,NSGA2,10000,27,4629
-62703.0,13504.655596746474,NSGA2,10000,27,4834
-61726.0,13272.45804332797,NSGA2,10000,27,4764
-60725.0,13078.702897354575,NSGA2,10000,27,4688
-60594.0,13051.696630421,NSGA2,10000,27,4684
-62665.0,13495.54996200084,NSGA2,10000,27,4832
-64443.0,13977.98653946971,NSGA2,10000,27,4968
-59349.0,12831.757267529072,NSGA2,10000,27,4598
-60412.0,13014.439184537827,NSGA2,10000,27,4671
-63109.0,13616.797099379759,NSGA2,10000,27,4865
-61454.0,13216.571070219023,NSGA2,10000,27,4743
-59288.0,12829.26140757004,NSGA2,10000,27,4599
-61628.0,13255.32598320546,NSGA2,10000,27,4755
-58689.0,12726.658531469811,NSGA2,10000,27,4554
-63948.0,13840.26483045817,NSGA2,10000,27,4929
-64128.0,13886.738607107549,NSGA2,10000,27,4943
-64719.0,14078.782942748314,NSGA2,10000,27,4991
-64732.0,14092.958416957874,NSGA2,10000,27,4994
-58941.0,12767.475856790843,NSGA2,10000,27,4568
-64761.0,14099.855122772582,NSGA2,10000,27,4996
-59854.0,12909.179775706289,NSGA2,10000,27,4631
-62153.0,13374.717229548984,NSGA2,10000,27,4795
