f1,f2,method,N,seed,selected_count
-0.0,0.0,NSGA2,100,29,0
-834.0,143.89223758479528,NSGA2,100,29,57
-811.0,133.05011071387477,NSGA2,100,29,55
-542.0,71.5522538639191,NSGA2,100,29,37
-769.0,119.45506396920901,NSGA2,100,29,52
-806.0,130.68283620069002,NSGA2,100,29,55
-336.0,37.3357433031069,NSGA2,100,29,22
-415.0,49.625775983097746,NSGA2,100,29,28
-212.0,20.830236607095305,NSGA2,100,29,14
-327.0,36.05075488374219,NSGA2,100,29,21
-533.0,69.88870511561181,NSGA2,100,29,37
-231.0,23.20957832064947,NSGA2,100,29,15
-222.0,21.823409248051153,NSGA2,100,29,15
-240.0,24.113754249908506,NSGA2,100,29,16
-408.0,48.425960026294156,NSGA2,100,29,27
-150.0,13.093782676954348,NSGA2,100,29,10
-783.0,123.29511325864017,NSGA2,100,29,53
-788.0,124.57596465744341,NSGA2,100,29,54
-178.0,16.49049045174609,NSGA2,100,29,12
-188.0,17.652082633524913,NSGA2,100,29,13
-72.0,4.504291697282095,NSGA2,100,29,5
-827.0,142.08674365886392,NSGA2,100,29,57
-761.0,117.77309630068812,NSGA2,100,29,52
-354.0,40.33101942474028,NSGA2,100,29,24
-503.0,64.6893881013154,NSGA2,100,29,34
-391.0,45.79902941201845,NSGA2,100,29,26
-664.0,95.62223502194453,NSGA2,100,29,46
-373.0,43.006831826983635,NSGA2,100,29,25
-624.0,87.46453544197992,NSGA2,100,29,43
-310.0,33.42382426946647,NSGA2,100,29,20
-81.0,5.525051065668193,NSGA2,100,29,6
-825.0,139.8225436319742,NSGA2,100,29,56
-652.0,93.04943415028599,NSGA2,100,29,46
-300.0,32.32031564930634,NSGA2,100,29,20
-792.0,125.67328663636481,NSGA2,100,29,54
-142.0,12.175789283775465,NSGA2,100,29,10
-795.0,126.74474946331182,NSGA2,100,29,54
-98.0,7.201811707974113,NSGA2,100,29,7
-731.0,110.56618291468371,NSGA2,100,29,50
-727.0,109.59479463488995,NSGA2,100,29,50
-476.0,59.89114211044364,NSGA2,100,29,32
-773.0,120.36018691152965,NSGA2,100,29,53
-433.0,52.87786124290275,NSGA2,100,29,29
-595.0,81.83500124006422,NSGA2,100,29,41
-579.0,78.67214647400976,NSGA2,100,29,40
-820.0,136.71082270877963,NSGA2,100,29,56
-821.0,138.63100295055088,NSGA2,100,29,56
-740.0,112.033142700644,NSGA2,100,29,51
-293.0,31.747063627160554,NSGA2,100,29,19
-583.0,79.48373309356404,NSGA2,100,29,40
-720.0,107.80037305943328,NSGA2,100,29,50
-12.0,0.0641852658348121,NSGA2,100,29,1
-35.0,1.7913703024092285,NSGA2,100,29,3
-14.0,0.7064256681883192,NSGA2,100,29,1
-690.0,101.315426716001,NSGA2,100,29,48
-715.0,106.96526033454741,NSGA2,100,29,49
-361.0,41.388375757175744,NSGA2,100,29,24
-317.0,34.55128505521648,NSGA2,100,29,21
-378.0,43.73577729285423,NSGA2,100,29,25
-615.0,85.40510745556539,NSGA2,100,29,43
-712.0,106.06627906779717,NSGA2,100,29,49
-169.0,15.473124390508515,NSGA2,100,29,11
-274.0,28.401664303561812,NSGA2,100,29,18
