f1,f2,method,N,seed,selected_count
-731.0,132.77841,RANDOM,100,8,52
-612.0,108.65104,RANDOM,100,8,43
-736.0,137.47609,RANDOM,100,8,53
-619.0,109.08977,RANDOM,100,8,45
-704.0,127.70546,RANDOM,100,8,51
-470.0,84.271126,RANDOM,100,8,34
-592.0,104.46683,RANDOM,100,8,43
-558.0,97.088165,RANDOM,100,8,39
-485.0,85.24782,RANDOM,100,8,35
-516.0,87.85817,RANDOM,100,8,38
-757.0,142.5335,RANDOM,100,8,54
-711.0,130.17128,RANDOM,100,8,51
-376.0,74.67482,RANDOM,100,8,29
-707.0,127.7431,RANDOM,100,8,52
-605.0,104.61636,RANDOM,100,8,44
-748.0,138.05377,RANDOM,100,8,53
-759.0,149.30714,RANDOM,100,8,55
-370.0,74.35012,RANDOM,100,8,29
-709.0,128.02254,RANDOM,100,8,51
-608.0,106.76232,RANDOM,100,8,43
-710.0,129.55237,RANDOM,100,8,50
-696.0,123.85126,RANDOM,100,8,49
-766.0,153.98143,RANDOM,100,8,55
-524.0,90.15293,RANDOM,100,8,38
-562.0,99.36611,RANDOM,100,8,41
-611.0,107.72188,RANDOM,100,8,43
-332.0,69.49924,RANDOM,100,8,26
-544.0,95.16733,RANDOM,100,8,40
-620.0,109.73845,RANDOM,100,8,45
-644.0,112.533905,RANDOM,100,8,47
-506.0,87.66418,RANDOM,100,8,37
-539.0,94.776825,RANDOM,100,8,40
-722.0,132.60101,RANDOM,100,8,51
-458.0,79.30043,RANDOM,100,8,33
-652.0,113.717384,RANDOM,100,8,48
-721.0,130.28084,RANDOM,100,8,50
-459.0,83.54203,RANDOM,100,8,35
-634.0,110.35601,RANDOM,100,8,46
-653.0,114.23445,RANDOM,100,8,48
-559.0,99.00012,RANDOM,100,8,42
-643.0,111.83408,RANDOM,100,8,46
-582.0,100.52925,RANDOM,100,8,43
-684.0,117.48313,RANDOM,100,8,48
-586.0,103.886856,RANDOM,100,8,43
-626.0,109.88389,RANDOM,100,8,46
-526.0,93.29957,RANDOM,100,8,38
-426.0,76.02651,RANDOM,100,8,31
-698.0,126.099434,RANDOM,100,8,51
-661.0,116.44784,RANDOM,100,8,49
-664.0,116.53249,RANDOM,100,8,48
-494.0,87.50066,RANDOM,100,8,36
-369.0,69.91252,RANDOM,100,8,28
-537.0,93.82439,RANDOM,100,8,38
-692.0,120.16278,RANDOM,100,8,48
-703.0,127.66756,RANDOM,100,8,51
-570.0,99.8569,RANDOM,100,8,42
-655.0,114.84366,RANDOM,100,8,47
