f1,f2,method,N,seed,selected_count
-59279.0,12719.162874217123,NSGA2,10000,4,4579
-65374.0,14102.016908072945,NSGA2,10000,4,5032
-65002.0,13979.084948139356,NSGA2,10000,4,5002
-65187.0,14048.752287759537,NSGA2,10000,4,5020
-61036.0,12997.12859686408,NSGA2,10000,4,4696
-60387.0,12888.67523142349,NSGA2,10000,4,4652
-64929.0,13961.937666276084,NSGA2,10000,4,4997
-59508.0,12745.83783523273,NSGA2,10000,4,4595
-60330.0,12875.576067055383,NSGA2,10000,4,4648
-64033.0,13672.704234941473,NSGA2,10000,4,4922
-65248.0,14064.43861942783,NSGA2,10000,4,5022
-62681.0,13348.13843260111,NSGA2,10000,4,4821
-62618.0,13326.202570861711,NSGA2,10000,4,4812
-64749.0,13900.171995563729,NSGA2,10000,4,4983
-61648.0,13119.534853457242,NSGA2,10000,4,4743
-60662.0,12930.72554726551,NSGA2,10000,4,4673
-63130.0,13455.6424779727,NSGA2,10000,4,4855
-60072.0,12829.135553151305,NSGA2,10000,4,4633
-61105.0,13006.494679478257,NSGA2,10000,4,4702
-61386.0,13066.142634117077,NSGA2,10000,4,4724
-64706.0,13888.29190588482,NSGA2,10000,4,4981
-59595.0,12755.455237371374,NSGA2,10000,4,4599
-61447.0,13073.264076599587,NSGA2,10000,4,4727
-64545.0,13844.547266359117,NSGA2,10000,4,4964
-59343.0,12723.759843972712,NSGA2,10000,4,4583
-60129.0,12836.875444825004,NSGA2,10000,4,4636
-59999.0,12809.088094254308,NSGA2,10000,4,4627
-62914.0,13397.311604722403,NSGA2,10000,4,4837
-60717.0,12939.393171330601,NSGA2,10000,4,4677
-60978.0,12993.18011726402,NSGA2,10000,4,4694
-61710.0,13122.831570815122,NSGA2,10000,4,4749
-62404.0,13273.425072600203,NSGA2,10000,4,4797
-61168.0,13018.601049959932,NSGA2,10000,4,4707
-59677.0,12770.686822101328,NSGA2,10000,4,4605
-62342.0,13266.864268901265,NSGA2,10000,4,4795
-59884.0,12795.458611082675,NSGA2,10000,4,4621
-62884.0,13382.289100682765,NSGA2,10000,4,4830
-63855.0,13647.947105781683,NSGA2,10000,4,4913
-64840.0,13918.903756722833,NSGA2,10000,4,4988
-62083.0,13201.70414389793,NSGA2,10000,4,4774
-62723.0,13356.695282338569,NSGA2,10000,4,4821
-64668.0,13867.21782431483,NSGA2,10000,4,4975
-64290.0,13758.34229754099,NSGA2,10000,4,4944
-62572.0,13315.246552040011,NSGA2,10000,4,4808
-64258.0,13740.222322386899,NSGA2,10000,4,4942
-63341.0,13503.379467772487,NSGA2,10000,4,4870
-62738.0,13366.891532738757,NSGA2,10000,4,4825
-65334.0,14086.013620683545,NSGA2,10000,4,5028
-63850.0,13633.193694720121,NSGA2,10000,4,4909
-61791.0,13147.978532699719,NSGA2,10000,4,4756
-65163.0,14028.55535109404,NSGA2,10000,4,5016
-64679.0,13881.162093198358,NSGA2,10000,4,4979
-60743.0,12945.996132397368,NSGA2,10000,4,4679
-63585.0,13564.07348712693,NSGA2,10000,4,4891
-62104.0,13213.143311181913,NSGA2,10000,4,4775
-65128.0,14016.984820960311,NSGA2,10000,4,5013
-62855.0,13378.75000875021,NSGA2,10000,4,4830
-63970.0,13669.409459067276,NSGA2,10000,4,4922
-63090.0,13447.796555392812,NSGA2,10000,4,4851
-65031.0,13996.016881755564,NSGA2,10000,4,5006
-59845.0,12786.566183239835,NSGA2,10000,4,4618
-63697.0,13596.697173646526,NSGA2,10000,4,4899
-59376.0,12731.210939619394,NSGA2,10000,4,4585
-60605.0,12919.155990895759,NSGA2,10000,4,4669
-60786.0,12953.14936496044,NSGA2,10000,4,4681
-63771.0,13612.858709705328,NSGA2,10000,4,4906
-63573.0,13552.085228900729,NSGA2,10000,4,4884
-62038.0,13196.38441965052,NSGA2,10000,4,4771
-61972.0,13183.996809642773,NSGA2,10000,4,4767
-63258.0,13483.879280090348,NSGA2,10000,4,4862
-60908.0,12972.123493130144,NSGA2,10000,4,4687
-63376.0,13514.954887154785,NSGA2,10000,4,4874
-65314.0,14085.380942756801,NSGA2,10000,4,5027
-61730.0,13134.367189630972,NSGA2,10000,4,4751
-62150.0,13215.600554375997,NSGA2,10000,4,4779
-64140.0,13711.008425575557,NSGA2,10000,4,4932
-61757.0,13139.784588484616,NSGA2,10000,4,4751
-65280.0,14070.624679935823,NSGA2,10000,4,5024
-62006.0,13191.15565419704,NSGA2,10000,4,4769
-60304.0,12869.074313065023,NSGA2,10000,4,4648
-59816.0,12782.52511770009,NSGA2,10000,4,4616
-59430.0,12732.329451121095,NSGA2,10000,4,4590
-63610.0,13573.07334412595,NSGA2,10000,4,4890
-61130.0,13010.84203876536,NSGA2,10000,4,4704
-60833.0,12953.710287700522,NSGA2,10000,4,4685
-64626.0,13861.57696511894,NSGA2,10000,4,4971
-63520.0,13550.773014741048,NSGA2,10000,4,4887
-62406.0,13285.721603051445,NSGA2,10000,4,4800
-63967.0,13658.74210826669,NSGA2,10000,4,4917
-65183.0,14034.381173139525,NSGA2,10000,4,5017
-60158.0,12843.609633372182,NSGA2,10000,4,4640
-60492.0,12899.227112549484,NSGA2,10000,4,4661
-60286.0,12858.40231509781,NSGA2,10000,4,4649
-63181.0,13464.08582053088,NSGA2,10000,4,4859
-61197.0,13028.924594751335,NSGA2,10000,4,4711
-59752.0,12773.933394163934,NSGA2,10000,4,4610
-64379.0,13796.752987749287,NSGA2,10000,4,4954
-59932.0,12807.545672404358,NSGA2,10000,4,4625
-60499.0,12906.106022450065,NSGA2,10000,4,4660
-61619.0,13106.367888461184,NSGA2,10000,4,4743
-61565.0,13099.977890631006,NSGA2,10000,4,4735
-63406.0,13527.79278656547,NSGA2,10000,4,4876
-62241.0,13246.949751401971,NSGA2,10000,4,4787
-64323.0,13766.12610240687,NSGA2,10000,4,4946
-64035.0,13692.736945445384,NSGA2,10000,4,4925
-63498.0,13542.822684106419,NSGA2,10000,4,4880
-60613.0,12926.039903027704,NSGA2,10000,4,4670
-64585.0,13852.610840246802,NSGA2,10000,4,4969
-61950.0,13175.903962944656,NSGA2,10000,4,4765
-61339.0,13062.787122474467,NSGA2,10000,4,4724
-62163.0,13227.329397242624,NSGA2,10000,4,4780
-63789.0,13624.440767101605,NSGA2,10000,4,4907
-64530.0,13830.640614401142,NSGA2,10000,4,4962
-64793.0,13911.24151321136,NSGA2,10000,4,4986
-62495.0,13299.67319286928,NSGA2,10000,4,4805
-65030.0,13985.539873561833,NSGA2,10000,4,5002
-64248.0,13737.132597028956,NSGA2,10000,4,4941
-62533.0,13301.577860803507,NSGA2,10000,4,4807
-64203.0,13729.271745095253,NSGA2,10000,4,4939
-63634.0,13579.646199163146,NSGA2,10000,4,4895
-59921.0,12801.633927500254,NSGA2,10000,4,4621
-65074.0,14004.051127316627,NSGA2,10000,4,5008
-62280.0,13252.016409261047,NSGA2,10000,4,4790
-61514.0,13092.76804680975,NSGA2,10000,4,4734
-64338.0,13778.061461887748,NSGA2,10000,4,4948
-63815.0,13626.883399472483,NSGA2,10000,4,4909
-64149.0,13723.23707697451,NSGA2,10000,4,4936
-62548.0,13310.938352187974,NSGA2,10000,4,4809
-62931.0,13405.37762565328,NSGA2,10000,4,4839
-60015.0,12822.547584346325,NSGA2,10000,4,4630
-64423.0,13806.919323064521,NSGA2,10000,4,4957
-62964.0,13408.44388621918,NSGA2,10000,4,4841
-62978.0,13416.594598155036,NSGA2,10000,4,4843
-63923.0,13648.575772951455,NSGA2,10000,4,4914
-62818.0,13368.326974007981,NSGA2,10000,4,4825
-61269.0,13042.02721734493,NSGA2,10000,4,4715
-64845.0,13931.341738287781,NSGA2,10000,4,4990
-64088.0,13696.808115467637,NSGA2,10000,4,4929
-61491.0,13082.49872047093,NSGA2,10000,4,4731
-64789.0,13906.62331826906,NSGA2,10000,4,4987
-62446.0,13290.049335973017,NSGA2,10000,4,4802
-63467.0,13538.151209128533,NSGA2,10000,4,4881
-60948.0,12983.482874859557,NSGA2,10000,4,4691
-62450.0,13296.679057968911,NSGA2,10000,4,4803
-64360.0,13784.760814272611,NSGA2,10000,4,4950
-63033.0,13429.497481423477,NSGA2,10000,4,4846
-62223.0,13240.198511003715,NSGA2,10000,4,4786
-59451.0,12741.054330342093,NSGA2,10000,4,4592
-63725.0,13603.859816487777,NSGA2,10000,4,4900
-60568.0,12908.08648446713,NSGA2,10000,4,4667
-60947.0,12979.43923854169,NSGA2,10000,4,4690
-63267.0,13498.3309986801,NSGA2,10000,4,4865
-63672.0,13587.545036356529,NSGA2,10000,4,4895
-62661.0,13332.935910362401,NSGA2,10000,4,4814
-64400.0,13800.91139826188,NSGA2,10000,4,4953
-63928.0,13652.878841950416,NSGA2,10000,4,4915
-62330.0,13257.882394069598,NSGA2,10000,4,4790
-65104.0,14012.99530793661,NSGA2,10000,4,5012
-59647.0,12764.658482429126,NSGA2,10000,4,4603
-63382.0,13521.738121903709,NSGA2,10000,4,4874
-62809.0,13367.79398992851,NSGA2,10000,4,4826
-60023.0,12825.739385628065,NSGA2,10000,4,4630
-63737.0,13608.117075517861,NSGA2,10000,4,4901
-61839.0,13151.27810182134,NSGA2,10000,4,4757
-60870.0,12969.244469781159,NSGA2,10000,4,4686
-61481.0,13079.202503209812,NSGA2,10000,4,4730
-63193.0,13466.826850076428,NSGA2,10000,4,4858
-61527.0,13096.978854935109,NSGA2,10000,4,4735
-64523.0,13825.616705203649,NSGA2,10000,4,4963
-61606.0,13104.000803164665,NSGA2,10000,4,4742
-61297.0,13044.671645434246,NSGA2,10000,4,4716
-60453.0,12890.948118695673,NSGA2,10000,4,4655
-64598.0,13856.791174072016,NSGA2,10000,4,4972
-59769.0,12776.700388039533,NSGA2,10000,4,4613
-61327.0,13055.411423056432,NSGA2,10000,4,4719
-60190.0,12851.53324936509,NSGA2,10000,4,4640
-63298.0,13501.984544548113,NSGA2,10000,4,4867
-64500.0,13818.765583337408,NSGA2,10000,4,4960
-59466.0,12744.658549694794,NSGA2,10000,4,4593
-60564.0,12907.998512116756,NSGA2,10000,4,4667
-63065.0,13441.879441080408,NSGA2,10000,4,4848
-61322.0,13048.555732872926,NSGA2,10000,4,4718
-61930.0,13169.37362018109,NSGA2,10000,4,4762
-64462.0,13808.77861183087,NSGA2,10000,4,4961
-63213.0,13475.770157181514,NSGA2,10000,4,4862
-60449.0,12890.474115604977,NSGA2,10000,4,4655
-62309.0,13254.209256189017,NSGA2,10000,4,4792
-62218.0,13231.637440371542,NSGA2,10000,4,4784
-64105.0,13705.731241390731,NSGA2,10000,4,4931
-62193.0,13229.86037528851,NSGA2,10000,4,4783
-61206.0,13035.385652478642,NSGA2,10000,4,4710
-63656.0,13585.786815399959,NSGA2,10000,4,4896
-62660.0,13332.70620344031,NSGA2,10000,4,4813
-64923.0,13955.7702914007,NSGA2,10000,4,4996
-60241.0,12855.114184945218,NSGA2,10000,4,4645
-60847.0,12965.670355225655,NSGA2,10000,4,4684
-64047.0,13694.174987884346,NSGA2,10000,4,4926
-64864.0,13934.692046741195,NSGA2,10000,4,4992
-64912.0,13949.32406169867,NSGA2,10000,4,4997
-65082.0,14007.356446567834,NSGA2,10000,4,5009
