f1,f2,method,N,seed,selected_count
-63752.0,15006.647,RANDOM,10000,15,5034
-59678.0,14196.753,RANDOM,10000,15,4751
-60138.0,14279.689,RANDOM,10000,15,4794
-62089.0,14561.189,RANDOM,10000,15,4925
-61186.0,14398.486,RANDOM,10000,15,4864
-61715.0,14475.092,RANDOM,10000,15,4904
-62803.0,14720.376,RANDOM,10000,15,4968
-61804.0,14515.7,RANDOM,10000,15,4901
-60982.0,14328.625,RANDOM,10000,15,4840
-61315.0,14409.106,RANDOM,10000,15,4850
-62522.0,14641.838,RANDOM,10000,15,4954
-63262.0,14801.279,RANDOM,10000,15,5008
-63710.0,15005.929,RANDOM,10000,15,5031
-63194.0,14796.047,RANDOM,10000,15,4995
-61554.0,14469.534,RANDOM,10000,15,4885
-60988.0,14386.749,RANDOM,10000,15,4871
-61789.0,14497.75,RANDOM,10000,15,4881
-62398.0,14580.767,RANDOM,10000,15,4935
-60837.0,14320.649,RANDOM,10000,15,4823
-62814.0,14729.092,RANDOM,10000,15,4956
-60033.0,14215.793,RANDOM,10000,15,4771
-62520.0,14638.3955,RANDOM,10000,15,4945
-62811.0,14726.206,RANDOM,10000,15,4968
-63831.0,15069.169,RANDOM,10000,15,5049
-63469.0,14824.438,RANDOM,10000,15,5004
-61359.0,14447.706,RANDOM,10000,15,4877
-61573.0,14475.03,RANDOM,10000,15,4882
-62687.0,14649.303,RANDOM,10000,15,4960
-63586.0,14946.342,RANDOM,10000,15,5019
-61829.0,14525.744,RANDOM,10000,15,4902
-63025.0,14759.537,RANDOM,10000,15,4987
-61480.0,14456.365,RANDOM,10000,15,4873
-62877.0,14737.567,RANDOM,10000,15,4985
-63160.0,14788.258,RANDOM,10000,15,4998
-62008.0,14553.449,RANDOM,10000,15,4905
-63523.0,14861.493,RANDOM,10000,15,5013
-63691.0,14973.463,RANDOM,10000,15,5039
-61938.0,14530.555,RANDOM,10000,15,4908
-62769.0,14700.053,RANDOM,10000,15,4963
-62961.0,14751.364,RANDOM,10000,15,4995
-63310.0,14801.471,RANDOM,10000,15,5008
-61509.0,14464.032,RANDOM,10000,15,4882
-60541.0,14292.058,RANDOM,10000,15,4821
