f1,f2,method,N,seed,selected_count
-6669.0,1524.4404,RANDOM,1000,23,512
-6355.0,1416.8124,RANDOM,1000,23,486
-6616.0,1498.4071,RANDOM,1000,23,509
-5631.0,1284.0565,RANDOM,1000,23,441
-5709.0,1296.5299,RANDOM,1000,23,451
-6595.0,1487.9968,RANDOM,1000,23,505
-6168.0,1375.249,RANDOM,1000,23,477
-6685.0,1540.0201,RANDOM,1000,23,516
-6552.0,1474.1096,RANDOM,1000,23,504
-6392.0,1428.8008,RANDOM,1000,23,494
-6635.0,1515.5995,RANDOM,1000,23,510
-6557.0,1474.7476,RANDOM,1000,23,507
-5382.0,1268.875,RANDOM,1000,23,424
-6090.0,1365.4258,RANDOM,1000,23,472
-5747.0,1303.8665,RANDOM,1000,23,448
-6377.0,1420.0079,RANDOM,1000,23,493
-5920.0,1330.1527,RANDOM,1000,23,461
-6566.0,1479.3484,RANDOM,1000,23,507
-6634.0,1503.3442,RANDOM,1000,23,509
-6407.0,1432.3313,RANDOM,1000,23,496
-5621.0,1275.8477,RANDOM,1000,23,437
-6444.0,1437.7957,RANDOM,1000,23,505
-6404.0,1429.9744,RANDOM,1000,23,494
-6006.0,1343.5208,RANDOM,1000,23,466
-6429.0,1436.842,RANDOM,1000,23,496
-6208.0,1383.8538,RANDOM,1000,23,484
-5843.0,1311.0629,RANDOM,1000,23,459
-5794.0,1309.4598,RANDOM,1000,23,453
-6216.0,1386.241,RANDOM,1000,23,478
-6573.0,1479.6345,RANDOM,1000,23,508
-5661.0,1290.0605,RANDOM,1000,23,445
-6179.0,1381.657,RANDOM,1000,23,475
-6408.0,1435.1796,RANDOM,1000,23,497
-6316.0,1409.7664,RANDOM,1000,23,492
-6096.0,1369.2086,RANDOM,1000,23,474
-6545.0,1472.9282,RANDOM,1000,23,505
-6650.0,1523.8693,RANDOM,1000,23,515
-6046.0,1350.9122,RANDOM,1000,23,472
-5895.0,1311.9922,RANDOM,1000,23,455
-5928.0,1338.8218,RANDOM,1000,23,461
-6506.0,1440.0039,RANDOM,1000,23,502
-6608.0,1490.3627,RANDOM,1000,23,512
-6646.0,1521.7915,RANDOM,1000,23,514
-6508.0,1449.9791,RANDOM,1000,23,501
-5749.0,1308.6122,RANDOM,1000,23,448
-5975.0,1341.2716,RANDOM,1000,23,463
-6539.0,1454.2473,RANDOM,1000,23,506
-6299.0,1386.4156,RANDOM,1000,23,483
-5636.0,1287.9011,RANDOM,1000,23,447
