f1,f2,method,N,seed,selected_count
-599.0,103.62892,RANDOM,100,17,44
-512.0,88.61629,RANDOM,100,17,37
-733.0,133.533,RANDOM,100,17,53
-555.0,98.721695,RANDOM,100,17,41
-452.0,80.89422,RANDOM,100,17,35
-612.0,108.19863,RANDOM,100,17,45
-497.0,86.7444,RANDOM,100,17,36
-559.0,98.97754,RANDOM,100,17,42
-732.0,132.38338,RANDOM,100,17,52
-470.0,84.10342,RANDOM,100,17,34
-704.0,125.66665,RANDOM,100,17,50
-379.0,70.85117,RANDOM,100,17,29
-712.0,129.93466,RANDOM,100,17,51
-758.0,144.24265,RANDOM,100,17,54
-709.0,129.53958,RANDOM,100,17,50
-440.0,78.84091,RANDOM,100,17,33
-694.0,117.131386,RANDOM,100,17,50
-760.0,148.50992,RANDOM,100,17,54
-715.0,130.97389,RANDOM,100,17,51
-769.0,153.16673,RANDOM,100,17,56
-614.0,109.126114,RANDOM,100,17,44
-603.0,106.91061,RANDOM,100,17,43
-406.0,73.30325,RANDOM,100,17,30
-451.0,79.86992,RANDOM,100,17,33
-723.0,132.05984,RANDOM,100,17,51
-396.0,71.97676,RANDOM,100,17,29
-620.0,109.61896,RANDOM,100,17,45
-738.0,134.5926,RANDOM,100,17,53
-392.0,71.04697,RANDOM,100,17,28
-417.0,76.40241,RANDOM,100,17,31
-585.0,101.884094,RANDOM,100,17,41
-705.0,128.94107,RANDOM,100,17,50
-441.0,79.685616,RANDOM,100,17,33
-527.0,89.042435,RANDOM,100,17,38
-708.0,129.47653,RANDOM,100,17,51
-549.0,94.07763,RANDOM,100,17,40
-467.0,82.51086,RANDOM,100,17,33
-646.0,111.06705,RANDOM,100,17,46
-663.0,116.13446,RANDOM,100,17,50
-710.0,129.80696,RANDOM,100,17,51
-717.0,131.2035,RANDOM,100,17,52
-553.0,98.16956,RANDOM,100,17,40
-571.0,101.87301,RANDOM,100,17,42
-649.0,113.98785,RANDOM,100,17,48
-566.0,100.42655,RANDOM,100,17,40
-469.0,84.00238,RANDOM,100,17,34
-543.0,92.52404,RANDOM,100,17,38
-751.0,136.37164,RANDOM,100,17,53
-702.0,125.260796,RANDOM,100,17,50
-491.0,85.894295,RANDOM,100,17,35
-569.0,101.60228,RANDOM,100,17,41
