f1,f2,method,N,seed,selected_count
-0.0,0.0,NSGA2,100,8,0
-838.0,145.4284624197017,NSGA2,100,8,57
-263.0,27.32100350955278,NSGA2,100,8,17
-492.0,62.63329920809992,NSGA2,100,8,34
-274.0,28.401664303561812,NSGA2,100,8,18
-501.0,64.3925233544714,NSGA2,100,8,34
-566.0,76.18228240945074,NSGA2,100,8,39
-193.0,18.235653896018174,NSGA2,100,8,13
-97.0,7.45128151563129,NSGA2,100,8,7
-832.0,142.48143208422226,NSGA2,100,8,56
-335.0,37.20125260661687,NSGA2,100,8,22
-232.0,23.181991593219227,NSGA2,100,8,15
-256.0,26.20678290284718,NSGA2,100,8,17
-559.0,74.81863432057682,NSGA2,100,8,39
-327.0,36.05075488374219,NSGA2,100,8,21
-58.0,3.15953046687521,NSGA2,100,8,4
-835.0,144.8569706312942,NSGA2,100,8,57
-240.0,24.134874087892847,NSGA2,100,8,16
-200.0,19.813143394388536,NSGA2,100,8,13
-89.0,6.181052339588016,NSGA2,100,8,6
-67.0,4.180289835261307,NSGA2,100,8,5
-161.0,14.715726164729666,NSGA2,100,8,11
-770.0,120.23996617288772,NSGA2,100,8,52
-436.0,53.36473336197723,NSGA2,100,8,29
-486.0,61.905962201286144,NSGA2,100,8,33
-746.0,113.7570013937842,NSGA2,100,8,51
-154.0,13.943902847262095,NSGA2,100,8,10
-781.0,122.35637391925046,NSGA2,100,8,53
-389.0,45.609009359917486,NSGA2,100,8,25
-533.0,69.88870511561181,NSGA2,100,8,37
-708.0,105.0569334588247,NSGA2,100,8,49
-785.0,123.64987432316006,NSGA2,100,8,53
-728.0,109.48558588939188,NSGA2,100,8,50
-177.0,16.309423446055078,NSGA2,100,8,12
-443.0,54.22230057715698,NSGA2,100,8,30
-750.0,114.9206053892063,NSGA2,100,8,51
-226.0,22.434567237974665,NSGA2,100,8,15
-812.0,133.31908357842005,NSGA2,100,8,55
-250.0,25.472336595076577,NSGA2,100,8,16
-810.0,132.14100245050415,NSGA2,100,8,55
-432.0,52.49505833425251,NSGA2,100,8,29
-310.0,33.42382426946647,NSGA2,100,8,20
-184.0,17.214894527632076,NSGA2,100,8,12
-651.0,92.86659089322812,NSGA2,100,8,46
-816.0,134.41640555734145,NSGA2,100,8,55
-644.0,91.39131396096184,NSGA2,100,8,45
-624.0,87.32263315473877,NSGA2,100,8,44
-712.0,106.00495523158598,NSGA2,100,8,49
-731.0,110.3995150823496,NSGA2,100,8,50
-383.0,44.81958530926598,NSGA2,100,8,25
-736.0,111.30029145739489,NSGA2,100,8,51
-583.0,79.57891547860571,NSGA2,100,8,40
-723.0,108.35309593404811,NSGA2,100,8,50
-35.0,1.7913703024092285,NSGA2,100,8,3
-51.0,2.958697472378371,NSGA2,100,8,4
-14.0,0.7064256681883192,NSGA2,100,8,1
-12.0,0.0641852658348121,NSGA2,100,8,1
-371.0,42.6808593907083,NSGA2,100,8,24
-339.0,38.135099511747924,NSGA2,100,8,22
-716.0,106.8916996578156,NSGA2,100,8,50
-767.0,119.10030290468912,NSGA2,100,8,52
-291.0,31.48128043571767,NSGA2,100,8,19
-656.0,93.73589012582762,NSGA2,100,8,46
-357.0,40.72816266221724,NSGA2,100,8,24
-168.0,15.28866407766898,NSGA2,100,8,11
-245.0,24.81390895152883,NSGA2,100,8,16
-104.0,7.814848186395916,NSGA2,100,8,7
-76.0,5.279350234131203,NSGA2,100,8,5
-704.0,103.94862274586463,NSGA2,100,8,49
-353.0,39.871214069728985,NSGA2,100,8,23
-362.0,41.40182570600185,NSGA2,100,8,24
-619.0,86.61599751573695,NSGA2,100,8,43
-394.0,46.41248613472258,NSGA2,100,8,26
-638.0,90.39301718392797,NSGA2,100,8,44
-26.0,0.7706109340231313,NSGA2,100,8,2
-540.0,71.37043821860887,NSGA2,100,8,37
-555.0,74.04116083512636,NSGA2,100,8,38
-754.0,115.71996646737837,NSGA2,100,8,52
-764.0,118.1766277294577,NSGA2,100,8,52
-314.0,34.25173181555658,NSGA2,100,8,20
-527.0,68.97799396493144,NSGA2,100,8,36
-601.0,82.73335722730025,NSGA2,100,8,42
-150.0,13.093782676954348,NSGA2,100,8,10
-608.0,84.32341301571466,NSGA2,100,8,42
-376.0,43.58083883203297,NSGA2,100,8,25
-570.0,77.32935460430281,NSGA2,100,8,39
-367.0,42.00853504994975,NSGA2,100,8,24
-304.0,32.70261814074028,NSGA2,100,8,20
-683.0,99.27984786431696,NSGA2,100,8,48
-687.0,100.21151094938307,NSGA2,100,8,48
-550.0,73.44457183483856,NSGA2,100,8,38
-605.0,83.59224149444667,NSGA2,100,8,42
-800.0,128.8390047002054,NSGA2,100,8,54
-823.0,138.14865152022375,NSGA2,100,8,56
-588.0,80.33203588244649,NSGA2,100,8,41
-285.0,30.323276427186112,NSGA2,100,8,19
-454.0,56.272987088619196,NSGA2,100,8,31
-613.0,85.07793339216603,NSGA2,100,8,43
-742.0,112.74165690395324,NSGA2,100,8,51
-760.0,117.40012048795019,NSGA2,100,8,52
-797.0,127.59727762675111,NSGA2,100,8,54
-788.0,124.58349885994433,NSGA2,100,8,54
-758.0,116.45281771062746,NSGA2,100,8,52
-221.0,21.75553237433868,NSGA2,100,8,15
-215.0,21.637595592968687,NSGA2,100,8,14
-278.0,29.334060588192767,NSGA2,100,8,18
-344.0,38.77355638870008,NSGA2,100,8,23
-647.0,92.06000815549602,NSGA2,100,8,45
-720.0,107.73763846173439,NSGA2,100,8,50
-407.0,48.367092408239735,NSGA2,100,8,27
-323.0,35.27249118394268,NSGA2,100,8,21
-128.0,10.956041708330742,NSGA2,100,8,9
-117.0,9.22879946542627,NSGA2,100,8,8
-72.0,4.504291697282095,NSGA2,100,8,5
-348.0,39.26450472578109,NSGA2,100,8,23
-449.0,55.57844576595284,NSGA2,100,8,30
-413.0,49.41830819505228,NSGA2,100,8,27
-514.0,66.48908699372417,NSGA2,100,8,35
-427.0,51.63016048420754,NSGA2,100,8,29
-579.0,78.71089026956197,NSGA2,100,8,40
-188.0,17.652082633524913,NSGA2,100,8,13
-172.0,15.889257079388868,NSGA2,100,8,12
-300.0,32.32031564930634,NSGA2,100,8,20
-108.0,8.589906723245024,NSGA2,100,8,7
-28.0,1.2315124358039546,NSGA2,100,8,2
-44.0,2.453104798686891,NSGA2,100,8,3
-122.0,9.93466795365191,NSGA2,100,8,8
-318.0,34.94858496660811,NSGA2,100,8,21
-615.0,85.87599362093583,NSGA2,100,8,43
-807.0,130.8858573918866,NSGA2,100,8,55
-817.0,135.68584370196695,NSGA2,100,8,55
-418.0,50.199782988147085,NSGA2,100,8,28
-697.0,102.70879275636257,NSGA2,100,8,48
-775.0,121.4459190242526,NSGA2,100,8,53
-596.0,82.26216853106266,NSGA2,100,8,41
-481.0,60.92426833109444,NSGA2,100,8,32
-828.0,139.54392565863108,NSGA2,100,8,56
-740.0,112.033142700644,NSGA2,100,8,51
-464.0,57.661377304129054,NSGA2,100,8,31
-546.0,72.37761208681908,NSGA2,100,8,38
-801.0,129.6973552466303,NSGA2,100,8,55
-700.0,103.41106900000969,NSGA2,100,8,49
-379.0,44.14726096850743,NSGA2,100,8,25
-468.0,58.48324609733671,NSGA2,100,8,31
-475.0,59.984248741321984,NSGA2,100,8,32
-206.0,19.846964034239544,NSGA2,100,8,14
-674.0,98.93186130694853,NSGA2,100,8,47
-633.0,89.38206114115333,NSGA2,100,8,44
-295.0,31.68185877235418,NSGA2,100,8,19
-447.0,54.85517520026074,NSGA2,100,8,30
-820.0,137.35391198293263,NSGA2,100,8,55
-397.0,47.21089269210115,NSGA2,100,8,26
-668.0,96.22212310086854,NSGA2,100,8,47
-829.0,141.0692757455659,NSGA2,100,8,56
-794.0,127.11595386065034,NSGA2,100,8,54
-144.0,12.369378601068359,NSGA2,100,8,10
-505.0,64.91678321164096,NSGA2,100,8,34
-401.0,47.57285237387138,NSGA2,100,8,27
-792.0,126.1268181909936,NSGA2,100,8,54
-824.0,139.4534042206726,NSGA2,100,8,56
-789.0,125.70787647893864,NSGA2,100,8,54
-803.0,130.77965569649643,NSGA2,100,8,55
-42.0,1.9379381039922738,NSGA2,100,8,3
-113.0,8.835607554782014,NSGA2,100,8,8
-818.0,136.63733063163548,NSGA2,100,8,56
-458.0,56.79082733045845,NSGA2,100,8,31
-591.0,80.96788080807426,NSGA2,100,8,41
-592.0,81.80784120326325,NSGA2,100,8,41
-628.0,88.27731496578959,NSGA2,100,8,44
-137.0,11.679831397923994,NSGA2,100,8,9
-673.0,97.38681366557093,NSGA2,100,8,47
-422.0,50.933083062107144,NSGA2,100,8,28
-126.0,10.249558833812367,NSGA2,100,8,9
-82.0,5.814085682069208,NSGA2,100,8,6
-658.0,94.74453870733991,NSGA2,100,8,46
-135.0,11.348619232682264,NSGA2,100,8,9
-507.0,65.67228472125946,NSGA2,100,8,35
-518.0,67.31810455649472,NSGA2,100,8,35
-672.0,97.15378618593465,NSGA2,100,8,47
-511.0,65.91507998867485,NSGA2,100,8,35
-520.0,67.48738377075806,NSGA2,100,8,36
-212.0,20.61499560957234,NSGA2,100,8,14
-480.0,60.46011023917807,NSGA2,100,8,33
-629.0,88.60998845972121,NSGA2,100,8,44
-694.0,101.92313280200266,NSGA2,100,8,49
-777.0,121.53501392618854,NSGA2,100,8,53
-574.0,78.55644885430131,NSGA2,100,8,40
-830.0,141.55114025217358,NSGA2,100,8,56
-572.0,77.98616120333824,NSGA2,100,8,40
-461.0,57.22929658510247,NSGA2,100,8,31
-678.0,98.93933484108634,NSGA2,100,8,47
-636.0,89.8088661297797,NSGA2,100,8,45
-405.0,48.13653086898285,NSGA2,100,8,27
-210.0,20.508336788011565,NSGA2,100,8,14
-536.0,70.89475634151961,NSGA2,100,8,37
-473.0,59.23368108621227,NSGA2,100,8,32
-663.0,95.53264057305013,NSGA2,100,8,46
-145.0,12.628900547366534,NSGA2,100,8,10
-547.0,72.62199858442408,NSGA2,100,8,38
-523.0,68.45373410776187,NSGA2,100,8,36
