f1,f2,method,N,seed,selected_count
-62121.0,14570.152,RANDOM,10000,11,4921
-61900.0,14527.357,RANDOM,10000,11,4908
-63298.0,14827.819,RANDOM,10000,11,5009
-63101.0,14795.372,RANDOM,10000,11,5000
-60978.0,14391.787,RANDOM,10000,11,4831
-62999.0,14762.95,RANDOM,10000,11,4986
-62068.0,14550.543,RANDOM,10000,11,4920
-63350.0,14832.793,RANDOM,10000,11,5017
-62962.0,14746.512,RANDOM,10000,11,4993
-63589.0,14932.546,RANDOM,10000,11,5021
-63737.0,15019.115,RANDOM,10000,11,5049
-60668.0,14277.122,RANDOM,10000,11,4804
-63176.0,14798.994,RANDOM,10000,11,4995
-61799.0,14467.58,RANDOM,10000,11,4906
-61544.0,14460.3,RANDOM,10000,11,4868
-63669.0,14986.089,RANDOM,10000,11,5037
-60985.0,14392.337,RANDOM,10000,11,4845
-60806.0,14302.537,RANDOM,10000,11,4829
-63292.0,14825.516,RANDOM,10000,11,5006
-63236.0,14821.033,RANDOM,10000,11,5013
-63060.0,14786.399,RANDOM,10000,11,4985
-62946.0,14738.978,RANDOM,10000,11,4983
-62439.0,14575.029,RANDOM,10000,11,4952
-62454.0,14654.186,RANDOM,10000,11,4949
-61829.0,14514.973,RANDOM,10000,11,4929
-60975.0,14387.208,RANDOM,10000,11,4843
-63018.0,14785.118,RANDOM,10000,11,4989
-63415.0,14874.905,RANDOM,10000,11,5010
-63748.0,15127.76,RANDOM,10000,11,5039
-62769.0,14674.792,RANDOM,10000,11,4975
-62526.0,14655.087,RANDOM,10000,11,4957
-63600.0,14968.817,RANDOM,10000,11,5040
-60923.0,14349.211,RANDOM,10000,11,4831
-62939.0,14681.542,RANDOM,10000,11,4978
-61439.0,14441.171,RANDOM,10000,11,4891
-63012.0,14784.118,RANDOM,10000,11,5004
-63410.0,14861.852,RANDOM,10000,11,5009
-63476.0,14876.545,RANDOM,10000,11,5022
-63817.0,15136.812,RANDOM,10000,11,5042
-63511.0,14909.393,RANDOM,10000,11,5026
-61236.0,14421.542,RANDOM,10000,11,4873
-61374.0,14434.937,RANDOM,10000,11,4871
-63213.0,14809.54,RANDOM,10000,11,5003
-62964.0,14761.791,RANDOM,10000,11,4977
-61220.0,14392.609,RANDOM,10000,11,4861
-63683.0,14991.159,RANDOM,10000,11,5041
