f1,f2,method,N,seed,selected_count
-62002.0,14518.488,RANDOM,10000,18,4913
-63879.0,15058.951,RANDOM,10000,18,5048
-62457.0,14643.423,RANDOM,10000,18,4949
-61353.0,14441.334,RANDOM,10000,18,4876
-62758.0,14690.169,RANDOM,10000,18,4964
-62098.0,14563.569,RANDOM,10000,18,4927
-62786.0,14690.444,RANDOM,10000,18,4976
-61528.0,14477.039,RANDOM,10000,18,4881
-61426.0,14456.952,RANDOM,10000,18,4887
-60639.0,14298.119,RANDOM,10000,18,4801
-60819.0,14351.185,RANDOM,10000,18,4832
-62508.0,14668.8,RANDOM,10000,18,4959
-63273.0,14795.354,RANDOM,10000,18,5005
-62567.0,14678.742,RANDOM,10000,18,4956
-61663.0,14491.895,RANDOM,10000,18,4895
-62294.0,14613.564,RANDOM,10000,18,4936
-63650.0,14972.389,RANDOM,10000,18,5033
-62904.0,14694.7705,RANDOM,10000,18,4989
-63229.0,14776.293,RANDOM,10000,18,4986
-61375.0,14453.697,RANDOM,10000,18,4849
-62510.0,14670.899,RANDOM,10000,18,4980
-61616.0,14487.017,RANDOM,10000,18,4868
-63445.0,14905.592,RANDOM,10000,18,5018
-62394.0,14620.832,RANDOM,10000,18,4925
-61019.0,14373.432,RANDOM,10000,18,4843
-63419.0,14847.172,RANDOM,10000,18,5009
-61180.0,14417.893,RANDOM,10000,18,4855
-60697.0,14323.621,RANDOM,10000,18,4821
-63441.0,14876.809,RANDOM,10000,18,5011
-62467.0,14658.335,RANDOM,10000,18,4953
-61763.0,14503.541,RANDOM,10000,18,4903
-62977.0,14743.936,RANDOM,10000,18,4992
-62203.0,14565.536,RANDOM,10000,18,4929
-61208.0,14419.755,RANDOM,10000,18,4880
-61797.0,14512.704,RANDOM,10000,18,4897
-63369.0,14843.34,RANDOM,10000,18,5009
-61744.0,14500.94,RANDOM,10000,18,4901
-63107.0,14760.996,RANDOM,10000,18,5002
-63635.0,14912.31,RANDOM,10000,18,5032
-60762.0,14342.819,RANDOM,10000,18,4824
-62929.0,14721.013,RANDOM,10000,18,4987
-63009.0,14755.616,RANDOM,10000,18,5001
-62671.0,14689.325,RANDOM,10000,18,4974
-61097.0,14383.631,RANDOM,10000,18,4858
-61177.0,14404.977,RANDOM,10000,18,4880
-62499.0,14668.544,RANDOM,10000,18,4947
-61282.0,14437.811,RANDOM,10000,18,4858
-63787.0,14983.035,RANDOM,10000,18,5026
-63444.0,14879.509,RANDOM,10000,18,5010
-60414.0,14241.784,RANDOM,10000,18,4783
-62976.0,14738.097,RANDOM,10000,18,4991
-62647.0,14686.397,RANDOM,10000,18,4967
-62264.0,14596.776,RANDOM,10000,18,4918
