Algorithm,Sample,Result,Time,Seed
BASE,10,40.626602482269064,0.06537389755249023,0
GENETICALGORITHM,10,40.52957416393586,0.34456777572631836,0
MEMETICALGORITHM,10,40.626602482269064,0.8840732574462891,0
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,15.807767868041992,0
EVOLUTIONSTRATEGY,10,40.626602482269064,0.0789344310760498,0
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.37081193923950195,0
BASE,10,40.626602482269064,0.031193017959594727,1
GENETICALGORITHM,10,40.626602482269064,0.37086915969848633,1
MEMETICALGORITHM,10,40.52957416393586,1.0726971626281738,1
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,15.806528329849243,1
EVOLUTIONSTRATEGY,10,40.626602482269064,0.08481216430664062,1
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.3728208541870117,1
BASE,10,40.626602482269064,0.02976846694946289,2
GENETICALGORITHM,10,40.626602482269064,0.38837218284606934,2
MEMETICALGORITHM,10,40.626602482269064,1.0009591579437256,2
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,15.884006023406982,2
EVOLUTIONSTRATEGY,10,40.100400222916356,0.08194303512573242,2
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.43215227127075195,2
BASE,10,40.626602482269064,0.030167818069458008,3
GENETICALGORITHM,10,40.626602482269064,0.38324928283691406,3
MEMETICALGORITHM,10,40.626602482269064,0.9920773506164551,3
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,15.134305477142334,3
EVOLUTIONSTRATEGY,10,40.52957416393586,0.0745234489440918,3
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.3388795852661133,3
BASE,10,40.626602482269064,0.029161453247070312,4
GENETICALGORITHM,10,40.626602482269064,0.34779977798461914,4
MEMETICALGORITHM,10,40.626602482269064,0.9647834300994873,4
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,16.42333459854126,4
EVOLUTIONSTRATEGY,10,40.100400222916356,0.09678506851196289,4
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.44234323501586914,4
BASE,10,40.626602482269064,0.03248739242553711,5
GENETICALGORITHM,10,40.626602482269064,0.4142758846282959,5
MEMETICALGORITHM,10,40.52957416393586,1.333550214767456,5
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,18.18893575668335,5
EVOLUTIONSTRATEGY,10,40.52957416393586,0.09193658828735352,5
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.39545655250549316,5
BASE,10,40.626602482269064,0.03316354751586914,6
