N,method,HV_mean,IGD_mean,ND_size_mean,HV_ci_low,HV_ci_high,IGD_ci_low,IGD_ci_high,ND_size_ci_low,ND_size_ci_high
10,NSGA2,626.3266115188599,0.0,14.0,626.3266115188599,626.3266115188599,0.0,0.0,14.0,14.0
10,RANDOM,626.3266115188599,0.0,14.0,626.3266115188599,626.3266115188599,0.0,0.0,14.0,14.0
100,NSGA2,88210.700121816,0.32699734,200.0,88169.53668133993,88251.86356229207,0.3190203088765043,0.3349743705744845,200.0,200.0
100,RANDOM,57972.24131088257,39.022923,52.333333333333336,57579.73941311524,58364.7432086499,38.44541917141657,39.600425860321714,49.96835255125141,54.698314115415265
1000,NSGA2,3672542.846978553,7.114348,200.0,3669368.6774120713,3675717.016545035,6.790805592519806,7.4378902769259945,200.0,200.0
1000,RANDOM,892217.1229427576,558.30554,54.333333333333336,879423.4647317757,905010.7811537394,555.9845653808003,560.6265186035747,51.91116420319003,56.75550246347664
10000,NSGA2,2779940.308094279,149.18985,200.0,2629782.103209043,2930098.512979515,129.54434274074623,168.83535696628502,200.0,200.0
10000,RANDOM,137958.22550506593,1453.7288,46.8,128440.80905870066,147475.6419514312,1449.6681104607237,1457.7894090705263,44.605331098728804,48.99466890127119
