N,method,seed,HV,IGD,ND_size
100,RANDOM,22,57771.344062805176,39.3428,50
100,RANDOM,23,58063.84519195557,38.918205,53
100,RANDOM,24,57799.82036590576,39.282135,55
100,RANDOM,25,58242.554374694824,38.584366,53
100,RANDOM,26,57949.97678375244,39.07102,49
100,RANDOM,27,56774.14685821533,40.87891,59
100,RANDOM,28,59535.7188873291,36.719696,58
100,RANDOM,29,56972.67624664307,40.59671,49
1000,NSGA2,0,3670693.7718811035,7.6862226,200
1000,NSGA2,1,3682081.4340400696,7.011408,200
1000,NSGA2,2,3675073.512023926,6.5782,200
1000,NSGA2,3,3662000.701351166,8.656895,200
1000,NSGA2,4,3683816.122039795,6.359734,200
1000,NSGA2,5,3650101.122608185,9.099709,200
1000,NSGA2,6,3673878.1599960327,6.8082943,200
1000,NSGA2,7,3681299.278503418,6.512028,200
1000,NSGA2,8,3679692.959373474,6.2620687,200
1000,NSGA2,9,3657371.5610046387,8.267514,200
1000,NSGA2,10,3680338.1840515137,6.0576673,200
1000,NSGA2,11,3679606.9714660645,5.8464046,200
1000,NSGA2,12,3667301.939239502,7.919395,200
1000,NSGA2,13,3670477.7994117737,7.387538,200
1000,NSGA2,14,3657863.323425293,8.5001545,200
1000,NSGA2,15,3661572.327896118,8.433733,200
1000,NSGA2,16,3678013.9960021973,6.39126,200
1000,NSGA2,17,3674994.0187072754,6.687535,200
1000,NSGA2,18,3681985.7335891724,5.697649,200
1000,NSGA2,19,3681806.491165161,6.261162,200
1000,NSGA2,20,3664482.0830993652,7.4950056,200
1000,NSGA2,21,3678362.936569214,6.398241,200
1000,NSGA2,22,3661080.5756874084,7.7025027,200
1000,NSGA2,23,3668940.651046753,7.8323226,200
1000,NSGA2,24,3671557.845489502,7.068988,200
1000,NSGA2,25,3671282.5710983276,7.707876,200
1000,NSGA2,26,3676429.27619648,6.6978016,200
1000,NSGA2,27,3682341.5206456184,6.2421007,200
1000,NSGA2,28,3673630.0445404053,7.2874074,200
1000,NSGA2,29,3678208.4972076416,6.5736184,200
1000,RANDOM,0,869265.0003356934,562.3811,65
1000,RANDOM,1,878577.6327934265,563.64355,55
1000,RANDOM,2,866328.921081543,564.3418,58
1000,RANDOM,3,902996.4417724609,557.61707,53
1000,RANDOM,4,894412.6452026367,559.1804,61
1000,RANDOM,5,946378.0355834961,547.5027,54
1000,RANDOM,6,870283.8392944336,558.7762,43
1000,RANDOM,7,857343.0266113281,566.7789,51
1000,RANDOM,8,895301.2538757324,559.66736,53
1000,RANDOM,9,893747.446105957,555.8313,47
1000,RANDOM,10,884131.3483276367,561.7831,67
1000,RANDOM,11,912982.4121017456,556.86346,64
1000,RANDOM,12,849717.3422241211,563.6636,51
1000,RANDOM,13,922489.7375183105,554.9707,50
1000,RANDOM,14,865237.4020385742,562.21686,44
1000,RANDOM,15,894058.6248168945,558.9642,50
1000,RANDOM,16,941894.4279327393,549.6709,62
1000,RANDOM,17,878023.6492767334,559.8187,61
1000,RANDOM,18,846755.9384765625,564.07104,42
1000,RANDOM,19,891062.8246612549,559.63666,50
1000,RANDOM,20,952033.6859893799,545.95514,58
1000,RANDOM,21,877713.8424568176,560.225,56
1000,RANDOM,22,938757.8251342773,551.01044,54
1000,RANDOM,23,860672.631652832,564.3046,49
1000,RANDOM,24,990962.996929884,540.2258,67
1000,RANDOM,25,838888.291229248,567.13904,50
1000,RANDOM,26,880619.7662963867,562.5858,59
1000,RANDOM,27,929521.2690429688,550.8561,54
1000,RANDOM,28,870084.5373077393,563.65515,49
1000,RANDOM,29,866270.8922119141,555.82916,53
10000,NSGA2,0,2634064.5376434326,123.57893,200
10000,NSGA2,1,3008033.891204834,83.09727,200
10000,NSGA2,2,3083647.8983459473,156.46956,200
10000,NSGA2,3,3352472.8642730713,112.27269,200
10000,NSGA2,4,3180855.6226654053,57.87336,200
10000,NSGA2,5,2150110.726135254,238.74161,200
10000,NSGA2,6,2696769.5350646973,57.798378,200
10000,NSGA2,7,2010995.1613464355,190.19032,200
10000,NSGA2,8,2507349.581100464,212.15947,200
10000,NSGA2,9,2711993.4893188477,171.82106,200
10000,NSGA2,10,2240112.116378784,160.54164,200
10000,NSGA2,11,2770458.270050049,203.03737,200
10000,NSGA2,12,3160768.785217285,128.08774,200
10000,NSGA2,13,3471885.5769500732,84.41917,200
10000,NSGA2,14,2399882.720718384,169.99075,200
10000,NSGA2,15,3288888.564605713,126.76769,200
10000,NSGA2,16,2670962.2188568115,200.75923,200
10000,NSGA2,17,2953084.699951172,128.75484,200
10000,NSGA2,18,2237083.0207977295,231.12593,200
10000,NSGA2,19,3107917.709411621,133.3594,200
10000,NSGA2,20,2613957.286758423,154.19232,200
10000,NSGA2,21,2709435.794570923,151.1793,200
10000,NSGA2,22,2516378.108215332,108.52761,200
10000,NSGA2,23,3219302.2602233887,119.20336,200
10000,NSGA2,24,2542480.7761383057,206.61726,200
10000,NSGA2,25,3397709.4723968506,58.11679,200
10000,NSGA2,26,3045570.525405884,170.58034,200
10000,NSGA2,27,2047032.8532714844,227.40865,200
10000,NSGA2,28,2467908.2198181152,227.46286,200
10000,NSGA2,29,3201096.9559936523,81.560455,200
10000,RANDOM,0,104711.97247314453,1457.2975,43
10000,RANDOM,1,133825.24977111816,1461.5693,52
10000,RANDOM,2,108486.00772094727,1465.5087,37
10000,RANDOM,3,122282.41914367676,1456.246,43
10000,RANDOM,4,133044.88493347168,1468.4788,58
10000,RANDOM,5,137502.99313354492,1446.1968,56
10000,RANDOM,6,103562.68157958984,1456.0641,46
10000,RANDOM,7,139973.2958984375,1455.1815,39
10000,RANDOM,8,122848.7255859375,1456.5048,43
10000,RANDOM,9,123430.76953125,1460.7993,48
10000,RANDOM,10,198037.1076812744,1436.4867,53
10000,RANDOM,11,122395.22155761719,1465.3981,46
10000,RANDOM,12,161951.20370483398,1456.9349,41
10000,RANDOM,13,115293.39430236816,1476.1637,45
10000,RANDOM,14,131809.46743774414,1435.3092,39
10000,RANDOM,15,138461.19580078125,1448.0901,43
10000,RANDOM,16,131716.0654296875,1457.3461,47
10000,RANDOM,17,141318.77447509766,1462.712,54
10000,RANDOM,18,172085.78421020508,1448.171,53
10000,RANDOM,19,125573.357421875,1459.8596,40
10000,RANDOM,20,203303.7261352539,1443.2349,60
10000,RANDOM,21,166489.658203125,1445.814,49
10000,RANDOM,22,122650.04699707031,1455.686,44
10000,RANDOM,23,183893.46885681152,1447.4976,45
10000,RANDOM,24,146948.55311584473,1446.0167,40
10000,RANDOM,25,105311.13891601562,1441.4191,39
10000,RANDOM,26,113797.00762939453,1476.5457,51
10000,RANDOM,27,122331.13397216797,1441.1232,53
10000,RANDOM,28,138161.82147216797,1454.7291,50
10000,RANDOM,29,167549.63806152344,1429.4802,47
